lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4
bar	fic_2004_29885.txt-4-10	news_1982_668343.txt-120-14	1.0	fic_2002_47139.txt-175-11	4.0	fic_2005_32805.txt-98-8	2.0	fic_2005_32805.txt-98-8	3.0
bar	mag_2001_416721.txt-69-0	mag_2007_390968.txt-43-4	2.0	fic_1993_25016.txt-1330-5	1.0	mag_2007_390968.txt-43-4	3.0	fic_1999_45403.txt-19-31	4.0
bar	fic_1962_10417.txt-5617-32	nf_1846_748061.txt-1284-3	1.0	fic_2002_47139.txt-175-11	4.0	fic_2002_47139.txt-175-11	2.0		
bar	fic_1978_10636.txt-27104-7	mag_1854_555974.txt-331-28	1.0	mag_2007_390968.txt-43-4	2.0	fic_2002_47139.txt-175-11	3.0		
bar	nf_2001_746558.txt-31-50	mag_1854_555965.txt-99-21	3.0	fic_2000_13995.txt-480-6	1.0	fic_2000_52518.txt-317-5	2.0		
bar	fic_1973_780108.txt-2947-19	nf_1857_753133.txt-433-14	1.0	nf_1846_748061.txt-1284-3	4.0	fic_1993_25016.txt-1330-5	2.0		
bar	nf_1997_746546.txt-7-17	fic_1840_7256.txt-3046-1	1.0	nf_1857_753133.txt-433-14	4.0	fic_1845_7262.txt-1101-7	2.0		
bar	fic_1973_16200.txt-63-11	fic_1842_7158.txt-56-7	2.0	nf_1852_771569.txt-558-20	1.0	fic_2005_32805.txt-98-8	4.0	mag_2007_390968.txt-43-4	3.0
bar	news_2000_633241.txt-70-5	fic_1964_16147.txt-1777-7	4.0	mag_1854_555974.txt-331-28	2.0	fic_1999_45403.txt-19-31	3.0		
bar	fic_1961_10411.txt-512-33	mag_2007_390968.txt-43-4	3.0	fic_2007_33962.txt-183-13	4.0	mag_2007_390968.txt-43-4	1.0		
bar	nf_1969_774314.txt-1846-17	nf_1969_774314.txt-1305-14	4.0	fic_1999_45403.txt-19-31	1.0	fic_1993_25016.txt-1330-5	3.0	fic_2002_47139.txt-175-11	2.0
bar	fic_1985_10734.txt-12072-29	fic_2000_52518.txt-317-5	4.0	mag_1821_553342.txt-352-17	1.0	fic_2000_52518.txt-317-5	3.0		
bar	fic_1963_10441.txt-521-7	news_2006_629441.txt-53-23	3.0	mag_1854_555974.txt-331-28	1.0	mag_1854_555974.txt-331-28	2.0	fic_2005_32805.txt-98-8	4.0
bar	fic_1993_25006.txt-4744-21	fic_2002_47139.txt-175-11	4.0	news_2000_633241.txt-70-5	3.0	fic_1993_25016.txt-1330-5	1.0	fic_1993_25016.txt-1330-5	2.0
bar	fic_1964_10454.txt-1540-19	fic_2000_52518.txt-317-5	4.0	mag_1854_555974.txt-331-28	1.0	fic_2000_52518.txt-317-5	3.0		
bar	nf_1998_775166.txt-88-20	fic_1993_25016.txt-1330-5	1.0	fic_1993_25016.txt-1330-5	2.0	news_1982_668343.txt-120-14	3.0		
bar	mag_2007_390968.txt-43-4	news_1982_668343.txt-120-14	1.0	fic_1989_10789.txt-3471-25	2.0	mag_1977_490785.txt-157-11	3.0		
bar	fic_1993_25010.txt-3964-10	fic_2000_52518.txt-317-5	4.0	mag_1854_555974.txt-331-28	1.0	fic_2005_32805.txt-98-8	3.0		
bar	mag_2002_421274.txt-153-12	fic_1824_7022.txt-122-23	1.0	fic_1993_25016.txt-1330-5	2.0	fic_1993_25016.txt-1330-5	3.0		
bar	fic_2000_38436.txt-821-29	nf_1857_753133.txt-433-14	1.0	fic_2002_47139.txt-175-11	4.0	fic_1847_8919.txt-1065-12	3.0		
bar	fic_2004_780508.txt-1941-2	fic_2000_13995.txt-480-6	2.0	fic_2000_52518.txt-317-5	4.0	mag_1821_553342.txt-352-17	1.0		
bar	fic_1965_10460.txt-3530-4	news_2006_629441.txt-53-23	2.0	nf_1857_753133.txt-433-14	1.0	fic_2002_47139.txt-175-11	4.0		
bar	fic_2009_36786.txt-91-3	mag_1821_553342.txt-352-17	1.0	fic_2000_52518.txt-317-5	4.0	mag_1854_555974.txt-331-28	2.0		
bar	fic_1963_23799.txt-145-1	fic_2000_52518.txt-317-5	4.0	nf_1857_753133.txt-433-14	1.0	fic_2000_52518.txt-317-5	2.0	fic_2000_52518.txt-317-5	3.0
bar	fic_2000_28758.txt-3-6	mag_2007_390968.txt-43-4	2.0	fic_1840_7256.txt-3046-1	1.0	fic_2005_32805.txt-98-8	4.0	mag_2007_390968.txt-43-4	3.0
bar	fic_2007_34119.txt-128-14	fic_1847_8919.txt-1065-12	4.0	fic_2000_52518.txt-317-5	3.0	mag_1854_555974.txt-331-28	2.0	mag_1854_555974.txt-331-28	1.0
bar	fic_1997_14534.txt-664-5	nf_1846_748061.txt-1284-3	4.0	mag_1825_553676.txt-2-14	1.0	fic_1993_25016.txt-1330-5	2.0		
bar	fic_2007_33962.txt-183-13	fic_1993_25016.txt-1330-5	1.0	fic_2000_52518.txt-317-5	2.0	fic_2000_52518.txt-317-5	3.0		
bar	fic_1964_16147.txt-1777-7	fic_1993_25016.txt-1330-5	1.0	fic_2002_47139.txt-175-11	4.0	fic_1847_8919.txt-1065-12	2.0		
bar	fic_1993_25035.txt-2235-16	fic_2000_13995.txt-480-6	4.0	fic_2000_52518.txt-317-5	2.0	news_1982_668343.txt-120-14	1.0	fic_2000_52518.txt-317-5	3.0
bar	mag_1986_333553.txt-17-4	fic_1999_45403.txt-19-31	4.0	fic_1993_25016.txt-1330-5	2.0	fic_2000_52518.txt-317-5	3.0	fic_1993_25016.txt-1330-5	1.0
bar	mag_2004_411262.txt-218-15	nf_1846_748061.txt-1284-3	2.0	nf_1846_748061.txt-1284-3	1.0	mag_1854_555965.txt-99-21	3.0	fic_2002_47139.txt-175-11	4.0
bar	fic_1993_25016.txt-1330-5	mag_2005_396762.txt-36-69	4.0	fic_1840_8565.txt-260-13	3.0	fic_1835_7133.txt-535-26	1.0	fic_1835_7133.txt-535-26	2.0
bar	fic_2009_36731.txt-175-10	nf_1827_748059.txt-780-6	1.0	nf_1827_748059.txt-780-6	2.0	news_2006_629441.txt-53-23	3.0	fic_2005_32805.txt-98-8	4.0
bar	news_2007_637878.txt-23-19	news_1982_668343.txt-120-14	1.0	fic_1993_25016.txt-1330-5	2.0	fic_1993_25016.txt-1330-5	3.0		
bar	nf_1997_746547.txt-708-17	nf_1857_753133.txt-433-14	4.0	fic_2000_13995.txt-480-6	1.0	fic_2000_52518.txt-317-5	2.0		
bar	fic_1983_23972.txt-314-7	nf_1846_748061.txt-1284-3	1.0	mag_2007_390968.txt-43-4	4.0	mag_2007_390968.txt-43-4	3.0	fic_2005_32805.txt-98-8	2.0
bar	fic_1995_53011.txt-273-18	fic_2002_47139.txt-175-11	4.0	mag_1854_555974.txt-331-28	1.0	fic_2002_47139.txt-175-11	3.0		
bar	fic_1970_782004.txt-928-31	mag_1854_555974.txt-331-28	1.0	fic_2000_52518.txt-317-5	2.0	fic_1993_25016.txt-1330-5	3.0		
bar	fic_1982_13389.txt-1305-4	mag_1854_555974.txt-331-28	1.0	mag_2007_390968.txt-43-4	3.0	fic_1993_25016.txt-1330-5	2.0		
bar	fic_1989_10789.txt-3471-25	fic_1999_45403.txt-19-31	3.0	fic_1993_25016.txt-1330-5	2.0	fic_1993_25016.txt-1330-5	1.0		
bar	fic_2005_32805.txt-98-8	fic_1978_10636.txt-842-8	4.0	fic_2000_13995.txt-480-6	3.0	mag_1820_553220.txt-63-6	1.0	fic_1999_45403.txt-19-31	2.0
bar	news_1973_731109.txt-17-5	mag_1999_408585.txt-67-25	1.0	mag_1854_555965.txt-99-21	3.0	mag_1854_555965.txt-99-21	4.0		
bar	mag_1977_490785.txt-157-11	mag_1854_555974.txt-331-28	1.0	mag_1825_553676.txt-2-14	3.0	fic_2009_36731.txt-175-10	4.0		
bar	nf_1996_777016.txt-84-41	mag_1854_555974.txt-331-28	1.0	mag_1854_555965.txt-99-21	3.0	fic_1993_25016.txt-1330-5	2.0		
bar	mag_1977_109022.txt-68-9	mag_2007_390968.txt-43-4	3.0	fic_1847_8919.txt-1065-12	4.0	fic_1993_25016.txt-1330-5	1.0		
bar	fic_2000_30931.txt-158-27	fic_2000_52518.txt-317-5	4.0	fic_2000_52518.txt-317-5	2.0	fic_1993_25016.txt-1330-5	1.0	fic_2000_52518.txt-317-5	3.0
bar	mag_2002_416592.txt-45-2	news_1982_668343.txt-120-14	1.0	fic_1993_25016.txt-1330-5	2.0	fic_1993_25016.txt-1330-5	3.0		
