	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	median_label	non_nan_count
63	fic_1827_9763.txt-5322-11	fic_1999_45403.txt-19-31	bar	dwug_en	1.0	1.0		1.0						1.0	3
65	fic_1827_9763.txt-5322-11	mag_1821_553342.txt-352-17	bar	dwug_en		1.0		4.0						2.5	2
66	fic_1827_9763.txt-5322-11	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
70	fic_1831_7002.txt-2243-7	fic_2002_47139.txt-175-11	bar	dwug_en			1.0	2.0						1.5	2
71	fic_1831_7002.txt-2243-7	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0	3.0						1.0	3
77	fic_1831_7210.txt-1507-8	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	3.0								3.5	2
79	fic_1831_7210.txt-510-4	fic_1846_7036.txt-2381-16	afternoon	dwug_en	4.0	2.0								3.0	2
81	fic_1833_7058.txt-473-28	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0	2.0	1.0							1.0	3
83	fic_1833_7058.txt-473-28	mag_1821_553342.txt-352-17	bar	dwug_en		2.0		1.0						1.5	2
85	fic_1833_7058.txt-473-28	nf_1969_774314.txt-1305-14	bar	dwug_en	1.0	3.0								2.0	2
86	fic_1833_7239.txt-1694-15	fic_1838_7086.txt-2732-33	attack	dwug_en	4.0			4.0						4.0	2
88	fic_1833_7239.txt-1694-15	news_1991_612479.txt-40-20	attack	dwug_en			3.0	3.0						3.0	2
91	fic_1833_7239.txt-1694-15	nf_1845_747928.txt-826-66	attack	dwug_en		2.0					2.0			2.0	2
92	fic_1833_7321.txt-162-45	nf_2006_776561.txt-30-8	afternoon	dwug_en	4.0		4.0							4.0	2
93	fic_1834_2652.txt-2410-34	mag_1828_553929.txt-364-34	attack	dwug_en			3.0	2.0						2.5	2
95	fic_1834_2652.txt-5065-36	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	3.0		2.0			2.0			2.5	4
97	fic_1834_7252.txt-206-4	mag_1845_587596.txt-153-9	afternoon	dwug_en	4.0			4.0						4.0	2
98	fic_1834_7252.txt-206-4	nf_1849_762578.txt-1803-0	afternoon	dwug_en	4.0	4.0		4.0						4.0	3
99	fic_1834_7323.txt-604-27	fic_1850_2310.txt-1321-9	afternoon	dwug_en			4.0	4.0						4.0	2
100	fic_1835_7016.txt-2023-9	fic_1838_7086.txt-2732-33	attack	dwug_en	4.0	3.0	4.0	4.0						4.0	4
101	fic_1835_7016.txt-2023-9	mag_1846_555400.txt-243-7	attack	dwug_en	3.0			3.0						3.0	2
102	fic_1835_7016.txt-2023-9	news_1991_612479.txt-40-20	attack	dwug_en	3.0		3.0	3.0						3.0	3
104	fic_1835_7133.txt-535-26	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0					2.0				1.5	2
106	fic_1835_7133.txt-535-26	mag_1850_589456.txt-285-8	bar	dwug_en				1.0		2.0				1.5	2
110	fic_1835_7134.txt-2235-79	mag_1828_553929.txt-364-34	attack	dwug_en	3.0	2.0		2.0			2.0	4.0		2.0	5
111	fic_1835_7134.txt-2235-79	mag_1845_555245.txt-299-1	attack	dwug_en	4.0		3.0					3.0		3.0	3
112	fic_1835_7142.txt-807-41	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	2.0	3.0							3.0	3
113	fic_1835_7142.txt-807-41	mag_1845_555245.txt-299-1	attack	dwug_en		4.0		3.0						3.5	2
114	fic_1835_7172.txt-6030-11	fic_1856_2470.txt-7252-13	attack	dwug_en	4.0		4.0							4.0	2
119	fic_1835_7272.txt-2343-15	fic_1852_9832.txt-757-5	afternoon	dwug_en		4.0	4.0							4.0	2
120	fic_1835_7309.txt-3267-10	fic_1845_7170.txt-4861-9	attack	dwug_en								3.0	3.0	3.0	2
122	fic_1835_7309.txt-3267-10	news_1991_612479.txt-40-20	attack	dwug_en	3.0	3.0								3.0	2
123	fic_1835_7353.txt-1190-8	mag_1855_556005.txt-194-2	afternoon	dwug_en		4.0		4.0						4.0	2
128	fic_1836_7330.txt-1145-5	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
129	fic_1836_7330.txt-1145-5	mag_2007_390968.txt-43-4	bar	dwug_en	3.0		1.0	3.0						3.0	3
131	fic_1837_8325.txt-663-43	fic_1999_45403.txt-19-31	bar	dwug_en		1.0	1.0							1.0	2
132	fic_1837_8325.txt-663-43	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0	1.0						1.0	3
134	fic_1837_8325.txt-663-43	mag_2007_390968.txt-43-4	bar	dwug_en	1.0	2.0								1.5	2
137	fic_1838_7085.txt-2157-17	fic_2009_36778.txt-461-18	attack	dwug_en	4.0		2.0	3.0						3.0	3
142	fic_1838_7086.txt-2732-33	fic_1858_1282.txt-1444-24	attack	dwug_en	4.0	2.0					2.0			2.0	3
145	fic_1838_7086.txt-2732-33	mag_1828_553929.txt-364-34	attack	dwug_en	3.0	3.0		2.0		2.0	3.0			3.0	5
147	fic_1838_7086.txt-2732-33	mag_1858_506134.txt-148-19	attack	dwug_en	4.0		4.0							4.0	2
150	fic_1838_7086.txt-2732-33	news_1967_726451.txt-39-2	attack	dwug_en	3.0				4.0					3.5	2
151	fic_1838_7086.txt-2732-33	news_1989_669714.txt-32-21	attack	dwug_en	4.0	4.0	4.0	4.0						4.0	4
153	fic_1838_7086.txt-2732-33	nf_1829_747740.txt-792-23	attack	dwug_en	4.0		4.0	4.0						4.0	3
155	fic_1838_7086.txt-2732-33	nf_1975_773861.txt-1436-17	attack	dwug_en		2.0	3.0	3.0						3.0	3
159	fic_1838_7250.txt-1095-10	fic_1839_7024.txt-2377-9	attack	dwug_en	4.0		4.0							4.0	2
163	fic_1839_7024.txt-2377-9	fic_1859_9037.txt-2260-41	attack	dwug_en						2.0	2.0	3.0		2.0	3
165	fic_1839_7024.txt-2377-9	mag_1828_553929.txt-364-34	attack	dwug_en	3.0			2.0			2.0			2.0	3
166	fic_1839_7024.txt-2377-9	mag_1962_492071.txt-8-21	attack	dwug_en			4.0	4.0						4.0	2
167	fic_1839_7024.txt-2377-9	mag_1970_315464.txt-8-1	attack	dwug_en			4.0	4.0						4.0	2
168	fic_1839_7024.txt-2377-9	mag_1980_296744.txt-5-30	attack	dwug_en	3.0	3.0	4.0							3.0	3
169	fic_1839_7024.txt-2377-9	mag_2005_379087.txt-0-11	attack	dwug_en	4.0		4.0							4.0	2
170	fic_1839_7024.txt-2377-9	news_1966_725841.txt-34-33	attack	dwug_en	3.0					3.0				3.0	2
172	fic_1839_7024.txt-2377-9	news_1998_626765.txt-4-8	attack	dwug_en				4.0		3.0				3.5	2
173	fic_1839_7024.txt-2377-9	nf_1845_748321.txt-2041-23	attack	dwug_en		4.0	3.0							3.5	2
174	fic_1839_7024.txt-2377-9	nf_1847_754437.txt-1509-47	attack	dwug_en	3.0		3.0	3.0						3.0	3
175	fic_1839_7068.txt-800-5	fic_1847_8919.txt-1065-12	bar	dwug_en		2.0	1.0							1.5	2
177	fic_1839_7068.txt-800-5	fic_2002_47139.txt-175-11	bar	dwug_en	1.0	1.0								1.0	2
180	fic_1839_7068.txt-800-5	mag_2005_396762.txt-36-69	bar	dwug_en	1.0						2.0			1.5	2
181	fic_1839_7352.txt-2123-7	mag_1855_556005.txt-194-2	afternoon	dwug_en	4.0	3.0	3.0							3.0	3
182	fic_1839_8698.txt-603-9	fic_1854_5388.txt-1142-35	afternoon	dwug_en		4.0		4.0						4.0	2
184	fic_1840_7256.txt-3046-1	fic_1993_25016.txt-1330-5	bar	dwug_en		3.0		3.0						3.0	2
186	fic_1840_7256.txt-3046-1	fic_2002_47139.txt-175-11	bar	dwug_en	1.0						1.0			1.0	2
188	fic_1840_7256.txt-3046-1	mag_1835_554346.txt-252-23	bar	dwug_en		1.0		1.0						1.0	2
189	fic_1840_7256.txt-3046-1	mag_1843_565272.txt-372-29	bar	dwug_en		1.0		1.0						1.0	2
193	fic_1840_8565.txt-260-13	fic_1993_25016.txt-1330-5	bar	dwug_en		3.0	1.0	3.0						3.0	3
194	fic_1840_8565.txt-260-13	fic_2000_52518.txt-317-5	bar	dwug_en	1.0		1.0							1.0	2
197	fic_1842_7158.txt-56-7	fic_1847_8919.txt-1065-12	bar	dwug_en	1.0	2.0	1.0	1.0						1.0	4
201	fic_1842_7158.txt-56-7	mag_1854_555974.txt-331-28	bar	dwug_en			1.0	1.0						1.0	2
203	fic_1842_7206.txt-3926-5	fic_1845_7170.txt-9891-50	afternoon	dwug_en	4.0		4.0	4.0						4.0	3
213	fic_1843_7166.txt-1590-9	mag_1845_555245.txt-299-1	attack	dwug_en			3.0	4.0						3.5	2
214	fic_1843_7166.txt-1590-9	news_1991_612479.txt-40-20	attack	dwug_en			3.0	3.0						3.0	2
218	fic_1843_7208.txt-479-12	fic_2002_47139.txt-175-11	bar	dwug_en	1.0			2.0						1.5	2
219	fic_1843_7208.txt-479-12	fic_2005_32805.txt-98-8	bar	dwug_en	1.0		1.0	1.0						1.0	3
224	fic_1843_7208.txt-8758-13	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
225	fic_1843_7208.txt-8758-13	fic_2002_47139.txt-175-11	bar	dwug_en	1.0	1.0	4.0							1.0	3
226	fic_1843_7208.txt-8758-13	mag_1821_553342.txt-352-17	bar	dwug_en	1.0	1.0	4.0							1.0	3
228	fic_1843_7325.txt-1640-7	fic_1997_54614.txt-159-18	afternoon	dwug_en	4.0			4.0						4.0	2
231	fic_1844_3928.txt-3118-8	fic_1968_781997.txt-4233-2	attack	dwug_en				4.0		3.0				3.5	2
234	fic_1844_3928.txt-3118-8	mag_1828_553929.txt-364-34	attack	dwug_en	3.0			2.0						2.5	2
236	fic_1844_3928.txt-3118-8	mag_1850_589167.txt-126-1	attack	dwug_en	4.0		4.0	3.0						4.0	3
237	fic_1844_3928.txt-3118-8	mag_1986_432304.txt-168-36	attack	dwug_en	4.0		3.0	4.0						4.0	3
238	fic_1844_3928.txt-3118-8	mag_1990_342663.txt-0-16	attack	dwug_en				4.0					4.0	4.0	2
239	fic_1844_3928.txt-3118-8	mag_1992_396000.txt-164-14	attack	dwug_en	3.0	4.0								3.5	2
241	fic_1844_3928.txt-3118-8	news_1991_612479.txt-40-20	attack	dwug_en	3.0			2.0		2.0				2.0	3
242	fic_1844_3928.txt-3118-8	news_1998_626765.txt-4-8	attack	dwug_en	3.0			4.0		2.0				3.0	3
243	fic_1844_3928.txt-3118-8	nf_1824_747448.txt-3506-12	attack	dwug_en	4.0		3.0							3.5	2
244	fic_1844_3928.txt-3118-8	nf_1841_762742.txt-2458-9	attack	dwug_en	4.0	3.0		4.0						4.0	3
245	fic_1844_3928.txt-3498-7	fic_1856_2470.txt-7252-13	attack	dwug_en			4.0	4.0						4.0	2
246	fic_1844_3928.txt-3498-7	mag_1828_553929.txt-364-34	attack	dwug_en		2.0		2.0						2.0	2
250	fic_1844_7081.txt-1707-4	mag_1989_492439.txt-6-25	bar	dwug_en		1.0					3.0			2.0	2
251	fic_1844_7081.txt-1707-4	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0							1.0	2
253	fic_1844_7135.txt-185-2	fic_1988_10770.txt-925-3	afternoon	dwug_en			4.0	4.0						4.0	2
254	fic_1844_7148.txt-178-16	mag_1855_556005.txt-194-2	afternoon	dwug_en		4.0		4.0						4.0	2
255	fic_1844_800.txt-2479-17	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	3.0								3.5	2
256	fic_1844_800.txt-2479-17	mag_1854_555935.txt-131-30	attack	dwug_en	3.0	2.0		3.0						3.0	3
257	fic_1845_622.txt-11178-62	mag_1828_553929.txt-364-34	attack	dwug_en		3.0	3.0	2.0						3.0	3
259	fic_1845_622.txt-11187-51	fic_2002_30623.txt-303-9	attack	dwug_en				2.0					1.0	1.5	2
260	fic_1845_622.txt-11187-51	mag_1828_553929.txt-364-34	attack	dwug_en	4.0			2.0			2.0			2.0	3
261	fic_1845_622.txt-11187-51	news_1994_606745.txt-26-26	attack	dwug_en	4.0	3.0		4.0						4.0	3
263	fic_1845_7103.txt-562-47	fic_1852_9832.txt-757-5	afternoon	dwug_en		4.0	4.0							4.0	2
264	fic_1845_7162.txt-3298-53	mag_1854_555935.txt-131-30	attack	dwug_en		3.0	2.0							2.5	2
266	fic_1845_7170.txt-10380-7	fic_1971_14051.txt-667-2	afternoon	dwug_en			4.0	4.0						4.0	2
267	fic_1845_7170.txt-10436-6	news_1991_612479.txt-40-20	attack	dwug_en	4.0		3.0							3.5	2
268	fic_1845_7170.txt-4861-9	fic_1993_25035.txt-820-7	attack	dwug_en		3.0	1.0				2.0			2.0	3
271	fic_1845_7170.txt-5850-9	fic_2002_47139.txt-175-11	bar	dwug_en		1.0	1.0							1.0	2
273	fic_1845_7170.txt-5850-9	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	2.0		3.0			3.0			2.5	4
276	fic_1845_7170.txt-9891-50	nf_1857_753133.txt-1759-5	afternoon	dwug_en	4.0	4.0		4.0						4.0	3
277	fic_1845_7262.txt-1101-7	fic_2002_47139.txt-175-11	bar	dwug_en	1.0		1.0	2.0						1.0	3
278	fic_1845_7262.txt-1101-7	mag_1821_553342.txt-352-17	bar	dwug_en	1.0			1.0						1.0	2
279	fic_1845_7262.txt-1101-7	mag_1854_555974.txt-331-28	bar	dwug_en		2.0		2.0						2.0	2
281	fic_1845_7262.txt-1101-7	news_2006_629441.txt-53-23	bar	dwug_en	1.0						1.0			1.0	2
282	fic_1845_7262.txt-1101-7	nf_1997_746546.txt-7-17	bar	dwug_en	1.0	2.0								1.5	2
286	fic_1845_7342.txt-259-40	mag_1821_553342.txt-352-17	bar	dwug_en	1.0						1.0			1.0	2
287	fic_1845_7342.txt-259-40	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
291	fic_1845_7342.txt-275-23	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
298	fic_1846_200.txt-3364-3	fic_2007_34112.txt-95-13	afternoon	dwug_en	4.0	4.0		4.0						4.0	3
299	fic_1846_544.txt-3481-11	mag_1828_553929.txt-364-34	attack	dwug_en	4.0			2.0			2.0			2.0	3
300	fic_1846_544.txt-3481-11	news_1994_606745.txt-26-26	attack	dwug_en		3.0		4.0						3.5	2
301	fic_1846_7036.txt-2381-16	fic_1855_9098.txt-10134-2	afternoon	dwug_en	4.0	4.0		4.0						4.0	3
302	fic_1846_7036.txt-2381-16	fic_1971_782005.txt-463-14	afternoon	dwug_en	4.0	4.0	4.0	4.0						4.0	4
303	fic_1846_7036.txt-2381-16	fic_1982_16205.txt-2111-8	afternoon	dwug_en		3.0		4.0						3.5	2
305	fic_1846_7036.txt-2381-16	fic_1989_782038.txt-2490-5	afternoon	dwug_en		4.0		4.0						4.0	2
306	fic_1846_7036.txt-2381-16	fic_1997_54614.txt-159-18	afternoon	dwug_en	3.0			4.0						3.5	2
308	fic_1846_7036.txt-2381-16	mag_1855_556005.txt-194-2	afternoon	dwug_en				4.0		4.0				4.0	2
311	fic_1846_7121.txt-2894-16	fic_1856_2470.txt-7252-13	attack	dwug_en		3.0	4.0							3.5	2
312	fic_1846_7121.txt-2894-16	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	3.0		2.0						3.0	3
313	fic_1846_7679.txt-262-9	fic_1854_9193.txt-8301-13	attack	dwug_en	4.0	3.0		2.0						3.0	3
315	fic_1846_7679.txt-262-9	mag_1828_553929.txt-364-34	attack	dwug_en		2.0		2.0						2.0	2
318	fic_1847_1094.txt-4528-4	mag_1855_556005.txt-194-2	afternoon	dwug_en			2.0	4.0						3.0	2
320	fic_1847_7094.txt-3878-12	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0	1.0								1.0	2
323	fic_1847_7343.txt-75-28	fic_2002_47139.txt-175-11	bar	dwug_en		1.0		1.0						1.0	2
326	fic_1847_7343.txt-75-28	mag_1854_555974.txt-331-28	bar	dwug_en		2.0	1.0							1.5	2
329	fic_1847_8919.txt-1065-12	fic_1853_9069.txt-3-11	bar	dwug_en	1.0	2.0	1.0							1.0	3
334	fic_1847_8919.txt-1065-12	fic_1962_10417.txt-5617-32	bar	dwug_en	1.0	4.0	4.0							4.0	3
335	fic_1847_8919.txt-1065-12	fic_1964_16147.txt-1777-7	bar	dwug_en		2.0	4.0	3.0						3.0	3
336	fic_1847_8919.txt-1065-12	fic_1965_10457.txt-1390-16	bar	dwug_en		2.0		1.0						1.5	2
340	fic_1847_8919.txt-1065-12	fic_1973_780108.txt-2947-19	bar	dwug_en		2.0		1.0						1.5	2
341	fic_1847_8919.txt-1065-12	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0				1.0					1.0	2
342	fic_1847_8919.txt-1065-12	fic_1993_25035.txt-2235-16	bar	dwug_en	1.0			2.0		1.0				1.0	3
343	fic_1847_8919.txt-1065-12	fic_1999_45403.txt-19-31	bar	dwug_en				4.0	1.0					2.5	2
344	fic_1847_8919.txt-1065-12	fic_2000_13995.txt-480-6	bar	dwug_en	4.0	1.0		3.0						3.0	3
345	fic_1847_8919.txt-1065-12	fic_2000_38436.txt-821-29	bar	dwug_en	3.0	2.0	4.0	3.0						3.0	4
346	fic_1847_8919.txt-1065-12	fic_2007_34119.txt-128-14	bar	dwug_en	4.0	4.0					1.0			4.0	3
347	fic_1847_8919.txt-1065-12	mag_1819_553205.txt-172-13	bar	dwug_en		1.0		1.0						1.0	2
350	fic_1847_8919.txt-1065-12	mag_1828_553927.txt-412-12	bar	dwug_en		2.0	1.0							1.5	2
351	fic_1847_8919.txt-1065-12	mag_1841_554975.txt-467-21	bar	dwug_en		2.0	1.0							1.5	2
354	fic_1847_8919.txt-1065-12	mag_1860_556997.txt-31-47	bar	dwug_en		1.0		1.0						1.0	2
355	fic_1847_8919.txt-1065-12	mag_1977_109022.txt-68-9	bar	dwug_en	4.0		4.0							4.0	2
356	fic_1847_8919.txt-1065-12	mag_1977_490785.txt-157-11	bar	dwug_en				1.0		1.0				1.0	2
358	fic_1847_8919.txt-1065-12	news_1979_734356.txt-17-9	bar	dwug_en	1.0	1.0								1.0	2
359	fic_1847_8919.txt-1065-12	nf_1833_747716.txt-118-0	bar	dwug_en	1.0		1.0							1.0	2
362	fic_1847_8919.txt-1065-12	nf_1843_747536.txt-1320-10	bar	dwug_en			1.0	1.0						1.0	2
363	fic_1847_8919.txt-1065-12	nf_1844_747607.txt-3721-35	bar	dwug_en	1.0	2.0								1.5	2
366	fic_1847_8919.txt-1065-12	nf_1997_746547.txt-708-17	bar	dwug_en		2.0	1.0	1.0						1.0	3
368	fic_1848_1279.txt-1511-47	fic_1854_9193.txt-8301-13	attack	dwug_en	3.0	3.0		4.0						3.0	3
369	fic_1848_1279.txt-1511-47	fic_1858_1282.txt-1444-24	attack	dwug_en				2.0				3.0		2.5	2
370	fic_1848_1279.txt-1511-47	fic_2009_36778.txt-461-18	attack	dwug_en				4.0					4.0	4.0	2
372	fic_1848_1279.txt-1511-47	mag_1840_586558.txt-356-49	attack	dwug_en				2.0				3.0		2.5	2
373	fic_1848_1279.txt-1511-47	mag_1972_278489.txt-11-19	attack	dwug_en	2.0			2.0			2.0		2.0	2.0	4
375	fic_1848_1279.txt-1511-47	mag_2007_387325.txt-12-20	attack	dwug_en	3.0								2.0	2.5	2
376	fic_1848_1279.txt-1511-47	news_1991_612479.txt-40-20	attack	dwug_en			2.0	2.0						2.0	2
377	fic_1848_1279.txt-1511-47	news_1997_611600.txt-65-2	attack	dwug_en				2.0				3.0		2.5	2
378	fic_1848_1279.txt-1511-47	nf_1975_773861.txt-1436-17	attack	dwug_en				2.0				3.0		2.5	2
379	fic_1848_7009.txt-1181-32	fic_1854_9193.txt-8301-13	attack	dwug_en	4.0	4.0	3.0	2.0	4.0					4.0	5
381	fic_1848_7009.txt-1181-32	fic_2009_36778.txt-461-18	attack	dwug_en	3.0					3.0				3.0	2
382	fic_1848_7009.txt-1181-32	mag_1828_553929.txt-364-34	attack	dwug_en		3.0		2.0						2.5	2
383	fic_1848_7009.txt-1181-32	mag_1834_554263.txt-306-48	attack	dwug_en	3.0	3.0	4.0	4.0						3.5	4
384	fic_1848_7009.txt-1181-32	mag_1838_586203.txt-253-10	attack	dwug_en	4.0		4.0							4.0	2
386	fic_1848_7009.txt-1181-32	mag_1984_299534.txt-14-19	attack	dwug_en	4.0	3.0		4.0						4.0	3
388	fic_1848_7009.txt-1181-32	mag_2007_387325.txt-12-20	attack	dwug_en		2.0					2.0			2.0	2
389	fic_1848_7009.txt-1181-32	nf_1836_749613.txt-2695-7	attack	dwug_en	4.0			4.0						4.0	2
390	fic_1848_7009.txt-1181-32	nf_2008_774816.txt-78-20	attack	dwug_en	4.0	3.0		4.0						4.0	3
392	fic_1848_7107.txt-993-43	fic_1999_45403.txt-19-31	bar	dwug_en	1.0			1.0						1.0	2
393	fic_1848_7107.txt-993-43	mag_1854_555974.txt-331-28	bar	dwug_en	1.0			1.0						1.0	2
394	fic_1848_7107.txt-993-43	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0							1.0	2
397	fic_1848_7193.txt-12821-20	mag_1825_553676.txt-2-14	bar	dwug_en		1.0					1.0			1.0	2
401	fic_1848_7193.txt-3809-25	fic_1852_9832.txt-757-5	afternoon	dwug_en	3.0			4.0						3.5	2
402	fic_1848_7193.txt-9645-37	fic_1852_9832.txt-757-5	afternoon	dwug_en		3.0	4.0							3.5	2
404	fic_1849_2605.txt-1007-13	fic_1851_3300.txt-1083-18	afternoon	dwug_en			4.0	4.0						4.0	2
405	fic_1849_5295.txt-962-22	fic_1851_3300.txt-1083-18	afternoon	dwug_en	4.0		4.0	4.0						4.0	3
406	fic_1849_7167.txt-1658-7	fic_1967_10491.txt-4998-1	afternoon	dwug_en	4.0	4.0								4.0	2
409	fic_1849_7218.txt-2032-3	fic_1997_54614.txt-159-18	afternoon	dwug_en		4.0	4.0	4.0						4.0	3
411	fic_1849_7218.txt-3369-36	fic_1850_2310.txt-1321-9	afternoon	dwug_en	4.0	4.0	4.0							4.0	3
412	fic_1849_7333.txt-947-13	fic_1993_25016.txt-1330-5	bar	dwug_en		1.0	1.0							1.0	2
413	fic_1849_7333.txt-947-13	fic_1999_45403.txt-19-31	bar	dwug_en		1.0		1.0						1.0	2
414	fic_1849_7333.txt-947-13	fic_2002_47139.txt-175-11	bar	dwug_en	1.0			1.0						1.0	2
417	fic_1849_9494.txt-213-14	fic_1999_45403.txt-19-31	bar	dwug_en			1.0	1.0						1.0	2
418	fic_1849_9494.txt-213-14	fic_2000_13995.txt-480-6	bar	dwug_en		1.0					1.0			1.0	2
420	fic_1849_9494.txt-213-14	mag_1854_555974.txt-331-28	bar	dwug_en		2.0	1.0							1.5	2
422	fic_1849_9494.txt-213-14	nf_1969_774314.txt-1846-17	bar	dwug_en		3.0		4.0						3.5	2
424	fic_1850_2310.txt-1321-9	fic_1970_10525.txt-2314-16	afternoon	dwug_en			4.0	4.0						4.0	2
425	fic_1850_2310.txt-1321-9	fic_1971_14051.txt-667-2	afternoon	dwug_en	4.0			4.0		4.0				4.0	3
426	fic_1850_2310.txt-1321-9	fic_1987_780057.txt-318-5	afternoon	dwug_en	4.0			4.0						4.0	2
429	fic_1850_2310.txt-1321-9	fic_1998_43428.txt-168-2	afternoon	dwug_en	4.0	4.0	4.0	4.0						4.0	4
431	fic_1850_2310.txt-1321-9	fic_2008_36241.txt-90-1	afternoon	dwug_en	3.0					4.0				3.5	2
432	fic_1850_2310.txt-1321-9	fic_2009_36384.txt-41-7	afternoon	dwug_en		3.0	4.0							3.5	2
435	fic_1850_2310.txt-1321-9	news_1970_729010.txt-127-17	afternoon	dwug_en	4.0	4.0	4.0							4.0	3
436	fic_1850_2310.txt-1321-9	news_1998_653815.txt-37-5	afternoon	dwug_en		3.0		4.0						3.5	2
438	fic_1850_2310.txt-1321-9	nf_1834_755185.txt-2925-9	afternoon	dwug_en	3.0			4.0						3.5	2
440	fic_1850_7171.txt-326-12	fic_1854_5388.txt-1142-35	afternoon	dwug_en		4.0	4.0	4.0						4.0	3
