lemma	identifier	context	indexes_target_token	context_normalized
Mißklang	wilamowitz_aristoteles01_1893-683-28	Aber seine grossen taten lebten, und sein über verdienst dankbares volk ruhte nicht, bis es für seine taten einen andern abschluss gefunden hatte als den schrillen misklang der flucht des geächteten oder den schlimmeren der faulen paschaexistenz. da er ihnen das gefürchtete leid nicht antat, erzählten sie, er wäre freiwillig gestorben, als er sich nicht anders der forderung des barbaren entziehen konnte, wider Hellas zu fechten. das glaubten die Athener schon, als Perikles starb. jeder der die zeiten genug kannte, um zu wissen, dass die flucht fünf jahre vor dem tode des Xerxes stattgefunden hatte, und dass Xerxes der letzte gewesen war, der einen zug gegen Hellas unternommen hatte, konnte gar nicht anders als Themistokles zu Xerxes kommen lassen. das ist sogar die verbreitete ansicht geblieben; es war ja auch ungleich wirkungsvoller. wer dagegen auch das wusste, das zwischen der flucht und der belehnung mit Magnesia jahre lagen, der hatte eine leere zeit, in welcher die alten fabeln bequem platz fanden und für jede neue raum blieb. neben der verschönenden liebe schwieg auch der hass nicht. sowol dem philosophischen staatsmanne, der Samos gegen Athen mit erfolg verteidigte, wie dem philosophischen freunde des Perikles hängten die feinde hochverräterische schlechtigkeit an, indem sie erzählten, dass Themistokles mit ihnen beziehungen unterhalten hätte. die oligarchen, die den erbauer des hafens und der flotte als stifter der verfluchten demokratie betrachteten, mochten dem Ephialtes womöglich schon bei lebzeiten vorrücken, dass er gegen den Areopag nur als werkzeug des Themistokles sich erhübe. endlich als der Perser wieder in Lampsakos und Myus gebot, der hafen geschleift war und die demokratie sich mühselig vom tiefsten falle erhob, trat ein ganz neuer bericht über die flucht des Themistokles mit dem entschiedensten anspruch auf wahrheit hervor. was Thukydides erzählt, hat sich im altertum neben der legende behauptet; heut zu tage glaubt man ihm blindlings. darf man das, und wenn man ’s darf, wo hat Thukydides die wahrheit her?	164:172	Aber seine großen taten lebten , und sein über verdienst dankbares Volk ruhte nicht , bis es für seine taten einen anderen Abschluß gefunden hatte als den schrillen Missklang der flucht des geächteten oder den schlimmeren der faulen Paschaexistenz . da er ihnen das gefürchtete leid nicht antat , erzählten sie , er wäre freiwillig gestorben , als er sich nicht anders der Forderung des barbaren entziehen konnte , wider Hellas zu fechten . das glaubten die Athener schon , als Perikles starb . jeder der die Zeiten genug kannte , um zu wissen , dass die flucht fünf Jahre vor dem Tode des Xerxes stattgefunden hatte , und dass Xerxes der letzte gewesen war , der einen Zug gegen Hellas unternommen hatte , konnte gar nicht anders als Themistokles zu Xerxes kommen lassen . das ist sogar die verbreitete Ansicht geblieben ; es war ja auch ungleich wirkungsvoller . wer dagegen auch das wusste , das zwischen der flucht und der Belehnung mit Magnesia Jahre lagen , der hatte eine leere Zeit , in welcher die alten fabeln bequem platz fanden und für jede neue Raum blieb . neben der verschönenden liebe schwieg auch der hass nicht . sowohl dem philosophischen Staatsmanne , der Samos gegen Athen mit erfolg verteidigte , wie dem philosophischen Freunde des Perikles hängten die Feinde hochverräterische Schlechtigkeit an , indem sie erzählten , dass Themistokles mit ihnen Beziehungen unterhalten hätte . die Oligarchen , die den Erbauer des Hafens und der flotte als Stifter der verfluchten Demokratie betrachteten , mochten dem Ephialtes womöglich schon bei Lebzeiten vorrücken , dass er gegen den Areopag nur als Werkzeug des Themistokles sich erhöbe . endlich als der Perser wieder in Lampsakos und Myus gebot , der Hafen geschleift war und die Demokratie sich mühselig vom tiefsten falle erhob , trat ein ganz neuer Bericht über die flucht des Themistokles mit dem entschiedensten Anspruch auf Wahrheit hervor . was Thukydides erzählt , hat sich im Altertum neben der legende behauptet ; heute zu Tage glaubt man ihm blindlings . darf man das , und wenn man es darf , wo hat Thukydides die Wahrheit her ?
Mißklang	brehm_thierleben02_1865-16828-2	Zuerst sollten Mißklänge aller Art ihn aus seiner Ruhe schrecken.	15:24	Zuerst sollten Mißklänge aller Art ihn aus seiner Ruhe schrecken .
Mißklang	oberwinder_buschoff_1892-119-4	Kein religiöser oder sonstiger Mißklang hat je das treffliche Einvernehmen getrübt, in welchem sie mit aller Welt lebten.	31:39	Kein religiöser oder sonstiger Mißklang hat je das treffliche Einvernehmen getrübt , in welchem sie mit aller Welt lebten .
Mißklang	treitschke_geschichte05_1894-1224-8	Auch der türkische Gesandte Shekib Pascha vermehrte die Mißklänge dieses seltsamen Concerts; er gehorchte blindlings den Rathschlägen des österreichischen Bevollmächtigten Neumann, der ausdrücklich beauftragt war sich seiner zu bemächtigen (s’ emparer).	56:65	Auch der türkische Gesandte Shekib Pascha vermehrte die Mißklänge dieses seltsamen Konzerts ; er gehorchte blindlings den Ratschlägen des österreichischen Bevollmächtigten Neumann , der ausdrücklich beauftragt war sich seiner zu bemächtigen ( s' emparer ) .
Mißklang	beyer_poetik01_1882-4784-9	Ebenso führt die zu häufige Wiederholung desselben Vokals zum Mißklang (== Kakophonie), z. B.:	62:70	Ebenso führt die zu häufige Wiederholung desselben Vokals zum Mißklang (== Kakophonie ) , z. B. :
Mißklang	engel_poetik_1806-1411-18	Der Wohllaut hört im Zwist des Guten und des Bösen; Vermag der auch, in sich den Mißklang aufzulösen?	81:89	Der Wohllaut hört im Zwist des Guten und des Bösen ; Vermag der auch , in sich den Mißklang aufzulösen ?
Mißklang	goerres_revolution_1819-180-40	Nicht darum sind so furchtbare Stürme über Europa hergezogen, daß schon, während sie noch nachdonnernd am fernen Gesichtskreis stehen, jenes Reich der Mittelmäßigkeit, das sie zersprengt, sich wieder zusammenfinde, in dem jede Kraft ein Mißklang ist, jedes Talent eine gefährliche Gewalt, jede Idee als eine Plage gilt, und jede Erhebung und Begeisterung, als eine gefährliche Narrheit behandelt wird.	237:245	Nicht darum sind so furchtbare Stürme über Europa hergezogen , daß schon , während sie noch nachdonnernd am fernen Gesichtskreis stehen , jenes Reich der Mittelmäßigkeit , das sie zersprengt , sich wieder zusammenfinde , in dem jede Kraft ein Mißklang ist , jedes Talent eine gefährliche Gewalt , jede Idee als eine Plage gilt , und jede Erhebung und Begeisterung , als eine gefährliche Narrheit behandelt wird .
Mißklang	vischer_aesthetik030204_1857-578-31	Was sich durch einfache, überschauliche Zahl exponirt, wird als Einklang, als consonirender Accord, was einen verwickelten Zählungsprozeß fordert, als unbefriedigende Auflösung erwartende Tonverbindung oder als voller Mißklang, als dissonirender Accord empfunden.	218:226	Was sich durch einfache , überschauliche Zahl exponiert , wird als Einklang , als konsonierender Akkord , was einen verwickelten Zählungsprozeß fordert , als unbefriedigende Auflösung erwartende Tonverbindung oder als voller Mißklang , als dissonierender Akkord empfunden .
Mißklang	hoffmann_unpolitische01_1840-1475-19	Die aus dem gewaltigen Meer von Tönen Fischen die Perle des Edelen, Schönen, Die uns des Lebens Mißklang entwöhnen, Allem Jammern, Klagen und Stöhnen, Uns mit dem Weltgewühle versöhnen, Uns das Leben erheitern, verschönen — Die, was ein Dichter irgend gesagt hat, Was er gelacht und was er geklagt hat, Was er zu ahnen kaum gewagt hat, Rastlos streben und ringen Schöner in Tönen darzubringen.	96:104	Die aus dem gewaltigen Meer von Tönen Fischen die Perle des Edlen , Schönen , Die uns des Lebens Mißklang entwöhnen , Allem Jammern , Klagen und Stöhnen , Uns mit dem Weltgewühle versöhnen , Uns das Leben erheitern , verschönen -- Die , was ein Dichter irgend gesagt hat , Was er gelacht und was er geklagt hat , Was er zu ahnen kaum gewagt hat , Rastlos streben und ringen Schöner in Tönen darzubringen .
Mißklang	froelich_virginia01_1820-100-10	Wie will man den verwandten Ton treffen, um diesen Mißklang in Einklang aufzulösen!	51:59	Wie will man den verwandten Ton treffen , um diesen Mißklang in Einklang aufzulösen !
Mißklang	michelis_reiseschule_1869-2106-36	Sind zwei Menschen, die sich vorher nicht kannten, erst einmal mehre Tage lang von früh bis spät zusammen gewesen, in belebtem, traulichem Zwiegespräch intim geworden, und es findet sich ein leiser Mißklang, oder nur Einer von Beiden fühlt das Bedürfniß zeitweiliger Veränderung, so ist in der Regel ein völliger Bruch oder eine dauernde Erkaltung die Folge, während die junge Freundschaft, wenn man ihr Zeit zum Wachsthum gelassen und sie nicht künstlich getrieben hätte, ein kräftiger, tiefgewurzelter Baum geworden wäre.	198:206	Sind zwei Menschen , die sich vorher nicht kannten , erst einmal mehrere Tage lang von früh bis spät zusammen gewesen , in belebtem , traulichem Zwiegespräch intim geworden , und es findet sich ein leiser Mißklang , oder nur Einer von Beiden fühlt das Bedürfnis zeitweiliger Veränderung , so ist in der Regel ein völliger Bruch oder eine dauernde Erkaltung die Folge , während die junge Freundschaft , wenn man ihr Zeit zum Wachstum gelassen und sie nicht künstlich getrieben hätte , ein kräftiger , tiefgewurzelter Baum geworden wäre .
Mißklang	vischer_aesthetik0201_1847-680-77	Doch behalten auch unter diesen Zusammenstellungen, um Göthes Ausdruck zu brauchen, diejenigen immer noch ein gewisses Recht, die sich gegen Roth steigern, denn sie deuten ein Fortschreiten an; Gelb und Grün aber und Blau und Grün steigern sich eigentlich nicht, sondern in beiden Paaren steht die indifferente Farbe auf der einen Seite und auf der andern die eine derjenigen Farben, deren Indifferenz sie ist, und dieß ist ein wirklicher Mißklang.	439:447	Doch behalten auch unter diesen Zusammenstellungen , um Goethes Ausdruck zu brauchen , diejenigen immer noch ein gewisses Recht , die sich gegen Rot steigern , denn sie deuten ein Fortschreiten an ; Gelb und Grün aber und Blau und Grün steigern sich eigentlich nicht , sondern in beiden Paaren steht die indifferente Farbe auf der einen Seite und auf der anderen die eine derjenigen Farben , deren Indifferenz sie ist , und dies ist ein wirklicher Mißklang .
Mißklang	treitschke_geschichte05_1894-714-39	Stürmisch, endlos erklangen die Jubelrufe aus den Massen; die Kinder ließen sich nicht halten und drängten sich an den Herrscher heran, der gütig lächelnd die kleinen Krausköpfe streichelte; es schien als könnte nie mehr ein Mißklang das patriarchalische Verhältniß zwischen Fürst und Volk stören.	225:233	Stürmisch , endlos erklangen die Jubelrufe aus den Massen ; die Kinder ließen sich nicht halten und drängten sich an den Herrscher heran , der gütig lächelnd die kleinen Krausköpfe streichelte ; es schien als könnte nie mehr ein Mißklang das patriarchalische Verhältnis zwischen Fürst und Volk stören .
Mißklang	engel_poetik_1806-1416-49	„Wer, größer wie Alcid, nicht sterbliche Geschöpfe, „Wer die Unsterblichen, die tausend Hyderköpfe Der wachsenden Begier allmählich niedertrat; Gesetze gründete, und auf Gesetz den Staat; Geschickt, die Neigungen der Guten und der Bösen „Und so in Harmonie den Mißklang aufzulösen; Wer in ein einzig Joch feindsel'ge Kräfte bog, Und allgemeines Wohl aus Zwist der Theile zog; „Wer Ordnung, Frieden, Recht und Unschuld festzusetzen, „Den Richter waffnete mit Stärk' und mit Gesetzen, Wer Bürger aus Barbarn, aus Bürgern Brüder macht: –	261:269	" Wer , größer wie Alcid , nicht sterbliche Geschöpfe , " Wer die Unsterblichen , die tausend Hyderköpfe Der wachsenden Begier allmählich niedertrat ; Gesetze gründete , und auf Gesetz den Staat ; Geschickt , die Neigungen der Guten und der Bösen " Und so in Harmonie den Mißklang aufzulösen ; Wer in ein einzig Joch feindselige Kräfte bog , Und allgemeines Wohl aus Zwist der Teile zog ; " Wer Ordnung , Frieden , Recht und Unschuld festzusetzen , " Den Richter waffnete mit Stärk und mit Gesetzen , Wer Bürger aus Barbarn , aus Bürgern Brüder macht : -
Mißklang	waiblinger_phaeton01_1823-374-12	Wer sie aber anrührt mit täppischen Händen, der läßt einen ewigen Mißklang zurück.	66:74	Wer sie aber anrührt mit täppischen Händen , der läßt einen ewigen Mißklang zurück .
Mißklang	heckert_schulgesetzgebung_1847-1650-43	Der Schullehrer muß allen Fleiß daran wenden, daß sowohl bei dem Vorsprechen, als bei dem Nachsprechen sämmtlicher Kinder, Ton und Nachdruck auf die Worte gelegt werden, auf welche es ankommt; damit der äußerst widrige, singende und einförmige Mißklang, mit welchem die Kinder gewöhnlich eine biblische Stelle hersagen, sich aus den Schulen verliere.	244:252	Der Schullehrer muß allen Fleiß daran wenden , daß sowohl bei dem Vorsprechen , als bei dem Nachsprechen sämtlicher Kinder , Ton und Nachdruck auf die Worte gelegt werden , auf welche es ankommt ; damit der äußerst widrige , singende und einförmige Mißklang , mit welchem die Kinder gewöhnlich eine biblische Stelle hersagen , sich aus den Schulen verliere .
Mißklang	candidus_christus_1854-258-6	Wenn schön herüberbeugte Zur Auflösung der Mißklang der Geschichte, Wenn göttlich reine Stimmen thun hervor sich Und voller hebt der Chor sich, Wer fragt noch ob dies deine Kunst verrichte?	43:51	Wenn schön herüberbeugte Zur Auflösung der Mißklang der Geschichte , Wenn göttlich reine Stimmen tun hervor sich Und voller hebt der Chor sich , Wer fragt noch ob dies deine Kunst verrichte ?
Mißklang	vischer_aesthetik0201_1847-637-3	Die Mängel und Mißklänge, welche hieraus entstehen, können aber theils durch die Vermittlung von Weiß, Schwarz, Grau, so wie durch das Verhältniß der Töne und Schattirungen, theils durch die Formen eines Körpers und durch Abstand der Körper von einander gemildert werden oder die mangelnde abstracte Farbenschönheit durch die Bestimmtheit der charakteristischen Bezeichnung ersetzen.	15:24	Die Mängel und Mißklänge , welche hieraus entstehen , können aber teils durch die Vermittlung von Weiß , Schwarz , Grau , so wie durch das Verhältnis der Töne und Schattierungen , teils durch die Formen eines Körpers und durch Abstand der Körper von einander gemildert werden oder die mangelnde abstrakte Farbenschönheit durch die Bestimmtheit der charakteristischen Bezeichnung ersetzen .
Mißklang	fontane_brandenburg02_1863-2886-11	Das Wesen dieser Art von Existenzen ist die Disharmonie, der Mißklang, der Widerstreit.	61:69	Das Wesen dieser Art von Existenzen ist die Disharmonie , der Mißklang , der Widerstreit .
Mißklang	vischer_aesthetik030202_1853-297-14	Dieß hat wesentlich seinen Grund im Mangel der Farbe; die Farbe löst aber Mißklänge der Linie nicht nur überhaupt, sondern speziell auch dadurch auf, daß sie das Auge auf die geistigen Tiefen des Ausdrucks hinlenkt; die letztere Form der Auflösung nimmt den Umweg durch das Furchtbare, auch nur im weiteren Sinn Erhabene, oder das Komische, und dieses weite Gebiet der ästhetischen Versöhnung mit dem Häßlichen ist denn der Bildnerkunst ebenfalls verschlossen.	74:83	Dies hat wesentlich seinen Grund im Mangel der Farbe ; die Farbe löst aber Mißklänge der Linie nicht nur überhaupt , sondern speziell auch dadurch auf , daß sie das Auge auf die geistigen Tiefen des Ausdrucks hinlenkt ; die letztere Form der Auflösung nimmt den Umweg durch das Furchtbare , auch nur im weiteren Sinn Erhabene , oder das Komische , und dieses weite Gebiet der ästhetischen Versöhnung mit dem Häßlichen ist denn der Bildnerkunst ebenfalls verschlossen .
Mißklang	curtius_alterthum01_1875-1087-51	Wer Sold giebt, macht auch Ansprüche, denen sich der Empfangende nicht entziehen kann, und da, wo die lockende Aussicht auf Gewinn poetische Tafelrunden bildete, welche sich um freigebige Fürsten, wie Pisistratos und Hiero, sammelten, da traten auch mancherlei Schäden höfischer Kunst und mancherlei Mißklänge, selbst bei so hervorragenden Geistern, wie Pindar, Simonides, Ibykos zu Tage.	300:309	Wer Sold gibt , macht auch Ansprüche , denen sich der Empfangende nicht entziehen kann , und da , wo die lockende Aussicht auf Gewinn poetische Tafelrunden bildete , welche sich um freigebige Fürsten , wie Pisistratos und Hier , sammelten , da traten auch mancherlei Schäden höfischer Kunst und mancherlei Mißklänge , selbst bei so hervorragenden Geistern , wie Pindar , Simonides , Ibykos zu Tage .
Mißklang	vischer_aesthetik030204_1857-657-41	Das Ursprüngliche, der Kern der Darstellung, das Bild der subjectiv menschlichen Empfindung geht mit diesen großen objectiven Ahnungen ganz in Eines zusammen, denn das Herz fühlt sich als Centrum der Welt, worin deren Einklang, aus dem Mißklang sich herstellend, sich zusammenfaßt, es fühlt seine Schicksale als Weltschicksale.	236:244	Das Ursprüngliche , der Kern der Darstellung , das Bild der subjektiv menschlichen Empfindung geht mit diesen großen objektiven Ahnungen ganz in Eines zusammen , denn das Herz fühlt sich als Zentrum der Welt , worin deren Einklang , aus dem Mißklang sich herstellend , sich zusammenfaßt , es fühlt seine Schicksale als Weltschicksale .
Mißklang	aston_leben_1847-601-55	Gerade die liebenswürdige Kindlichkeit, vereinigt mit einem tiefsinnigen Zug, der Zauber einer seltenen Harmonie, der, alle Gegensätze versöhnend, über ihr ganzes Wesen ausgebreitet war, mußten einen Mann fesseln, den Denken und Leben in allen Widersprüchen herumgeworfen; der gerade nach einer Harmonie suchte, in der die schreienden Mißklänge aufgelöst würden.	335:344	Gerade die liebenswürdige Kindlichkeit , vereinigt mit einem tiefsinnigen Zug , der Zauber einer seltenen Harmonie , der , alle Gegensätze versöhnend , über ihr ganzes Wesen ausgebreitet war , mußten einen Mann fesseln , den Denken und Leben in allen Widersprüchen herumgeworfen ; der gerade nach einer Harmonie suchte , in der die schreienden Mißklänge aufgelöst würden .
Mißklang	waiblinger_phaeton01_1823-608-3	Da war aller Mißklang weg aus meiner Seele, und in meinem tiefsten Jnnern klang ’s: nur sie, nur sie!	13:21	Da war aller Mißklang weg aus meiner Seele , und in meinem tiefsten Inneren klang es : nur sie , nur sie !
Mißklang	vischer_aesthetik030204_1857-808-142	Die Musik trägt nicht so wie Plastik und Malerei anderwärts her genommene Gestalten auf einen gegen dieselben indifferenten Stoff über, sie errichtet nicht, wie die Architektur, aus unorganischen, formlosen Massen ein Gebäude, dessen Gestalt von der Phantasie ganz selbständig, wenn auch immerhin mit Rücksicht auf die Beschaffenheit des Materials, construirt ist, sie kann nicht objectiv bilden, nicht Gestalten in eigentlichem Sinne schaffen, sie kann nur das Tonmaterial in Bewegung setzen, nur Tonverknüpfungen verschiedener Art hervorbringen; ihre Gebilde sind blos Reihen und Gewebe von Klängen, die nie zu plastischer Objectivität und Individualität gelangen, und bei deren Hervorbringung sie schlechthin gebunden ist an die Qualität des Materials selbst, dessen sie sich bedient, d. h. an eine Reihe von Verhältnissen der Intervalle, der Accorde, des Wohl-und Mißklangs, welche in der natürlichen Gehörorganisation ihre Grundlage haben und daher der künstlerischen Thätigkeit mit unabänderlicher Naturnothwendigkeit gegenüberstehen; das Material der Musik ist nicht ein indifferentes, formloses, sondern es hat schon in sich selbst eine Gesetzmäßigkeit, eine Mannigfaltigkeit fester, charakteristischer Formen und Verhältnisse, welche zwar unendlich viele und verschiedene Toncombinationen zulassen und in dieser Beziehung der Composition den freisten Spielraum gewähren, aber ihr doch vorausgehen als gegebene Elemente, deren sie sich überall bedienen muß.	868:877	Die Musik trägt nicht so wie Plastik und Malerei anderwärts her genommene Gestalten auf einen gegen dieselben indifferenten Stoff über , sie errichtet nicht , wie die Architektur , aus unorganischen , formlosen Massen ein Gebäude , dessen Gestalt von der Phantasie ganz selbständig , wenn auch immerhin mit Rücksicht auf die Beschaffenheit des Materials , konstruiert ist , sie kann nicht objektiv bilden , nicht Gestalten in eigentlichem Sinne schaffen , sie kann nur das Tonmaterial in Bewegung setzen , nur Tonverknüpfungen verschiedener Art hervorbringen ; ihre Gebilde sind bloß Reihen und Gewebe von Klängen , die nie zu plastischer Objektivität und Individualität gelangen , und bei deren Hervorbringung sie schlechthin gebunden ist an die Qualität des Materials selbst , dessen sie sich bedient , d. h. an eine Reihe von Verhältnissen der Intervalle , der Akkorde , des Wohl- und Mißklangs , welche in der natürlichen Gehörorganisation ihre Grundlage haben und daher der künstlerischen Tätigkeit mit unabänderlicher Naturnotwendigkeit gegenüberstehen ; das Material der Musik ist nicht ein indifferentes , formloses , sondern es hat schon in sich selbst eine Gesetzmäßigkeit , eine Mannigfaltigkeit fester , charakteristischer Formen und Verhältnisse , welche zwar unendlich viele und verschiedene Toncombinationen zulassen und in dieser Beziehung der Komposition den freisten Spielraum gewähren , aber ihr doch vorausgehen als gegebene Elemente , deren sie sich überall bedienen muß .
