study_id	time_to_complete	p_c_results_id	l_c_results_id	feedback_id
4	164134	105|4		105
4	108331		179|4	179
4	107297	290|4		290
4	145621	257|4		257
4	108131	365|4		365
4	104559		157|4	157
4	95585	284|4		284
4	75393		78|4	78
4	2558		110|4	110
4	87354	10|4		10
4	197225	243|4		243
4	105097		69|4	69
4	101779		229|4	229
4	755592	407|4		407
5	343143	54|5		54
5	6251748	389|5		389
5	112152	369|5		369
5	193683	88|5		88
5	151791	216|5		216
5	429107	240|5		240
5	100274		204|5	204
5	177934	396|5		396
5	154038	302|5		302
5	52906	8|5		8
5	394978	248|5		248
5	86650		415|5	415
5	105447	181|5		181
5	1202830	303|5		303
5	123047		71|5	71
5	171718	109|5		109
5	179852	502|5		502
5	76235	194|5		194
5	9537	52|5		52
5	235017	386|5		386
5	142403		82|5	82
5	44612	263|5		263
5	77357		19|5	19
5	167733	93|5		93
5	121749		300|5	300
5	111327		374|5	374
5	128851	276|5		276
5	81280	177|5		177
5	121817		233|5	233
5	53049		226|5	226
5	78847		278|5	278
5	136519		168|5	168
5	97439	159|5		159
5	103697		360|5	360
5	57181	256|5		256
5	118256		188|5	188
5	159627	266|5		266
5	177934	397|5		397
6	158945		236|6	236
6	71316		15|6	15
6	120700	252|6		252
6	116112	295|6		295
6	81186		410|6	410
6	106764	67|6		67
6	70742	214|6		214
6	69277		378|6	378
6	120327	184|6		184
6	108257	83|6		83
6	13084	152|6		152
6	185903	198|6		198
6	24848	205|6		205
6	58418	270|6		270
6	53631	53|6		53
6	84696	92|6		92
6	204912		156|6	156
6	130937	232|6		232
6	38091		292|6	292
6	172105	296|6		296
6	109472	260|6		260
6	83742	395|6		395
6	38011		64|6	64
6	113542	367|6		367
6	53689		77|6	77
6	139506	217|6		217
6	81186		409|6	409
6	74793	423|6		423
6	187304	247|6		247
6	91528		294|6	294
6	85801	280|6		280
6	89114	399|6		399
6	73925	186|6		186
6	72013		178|6	178
6	53119		165|6	165
6	10547	1|6		1
6	97828	293|6		293
6	132371		385|6	385
7	50259	307|7		307
7	75535		251|7	251
7	41313	75|7		75
7	167684	56|7		56
7	33681		230|7	230
7	15728		373|7	373
7	49070	2|7		2
7	157894	402|7		402
7	48987	59|7		59
7	83094	357|7		357
7	86183	231|7		231
7	73866		416|7	416
7	51820		91|7	91
7	55433		393|7	393
7	41313	76|7		76
7	161044	199|7		199
7	669313	183|7		183
7	61686		299|7	299
7	59916	209|7		209
7	53173		242|7	242
7	46163		172|7	172
7	71215	371|7		371
7	44272	355|7		355
7	131732	271|7		271
7	60262		381|7	381
7	75168	68|7		68
7	74762	161|7		161
7	53120		259|7	259
7	40892	220|7		220
7	105885	108|7		108
7	63265	289|7		289
7	60812	190|7		190
7	90221	208|7		208
7	84046		154|7	154
7	77666		5|7	5
7	76967	277|7		277
7	169300		405|7	405
8	66805		359|8	359
8	59733	171|8		171
8	50412		74|8	74
8	78040		285|8	285
8	114241	223|8		223
8	48749		241|8	241
8	105123		398|8	398
8	28664		411|8	411
8	88131	66|8		66
8	75761		388|8	388
8	22814	261|8		261
8	70226	254|8		254
8	61115	282|8		282
8	51602		7|8	7
8	117387	86|8		86
8	59733	170|8		170
8	90871		366|8	366
8	93962	102|8		102
8	5169181	164|8		164
8	52065		382|8	382
8	6693	352|8		352
8	30948		62|8	62
8	48616		203|8	203
8	86274	196|8		196
8	65916	265|8		265
8	53773	417|8		417
8	74739	212|8		212
8	37129		419|8	419
8	76397	65|8		65
8	99849		222|8	222
8	53638		298|8	298
8	26099		191|8	191
8	181222		238|8	238
8	8505	354|8		354
8	93962	103|8		103
8	90621	160|8		160
8	44815		3|8	3
8	62268		368|8	368
