lemma	identifier1	identifier2	judgment	cosine_similarity
abbauen	2532889X_1969-09-07_01_200.tcf.xml-37-16	beck_eisen02_1895-19457-11	2.0	0.3955332934856415
abbauen	2532889X_1969-09-07_01_200.tcf.xml-37-16	humboldt_bogota_1853-257-34	2.0	0.30212774872779846
abbauen	2532889X_1970-01-10_01_062.tcf.xml-1-46	2532889X_1986-12-30_01_048.tcf.xml-58-32	3.5	0.6527184844017029
abbauen	2532889X_1970-01-10_01_062.tcf.xml-1-46	baumstark_encyclopaedie_1835-3469-13	2.0	0.2180219441652298
abbauen	2532889X_1970-01-10_01_062.tcf.xml-1-46	humboldt_gutachten_1838-109-17	2.0	0.29203468561172485
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1973-06-30_01_194.tcf.xml-47-22	2.0	0.3362172842025757
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1977-08-26_01_087.tcf.xml-25-45	4.0	0.7948918342590332
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1978-06-09_01_083.tcf.xml-2-32	3.0	0.7223957180976868
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1978-07-21_01_096.tcf.xml-14-30	3.5	0.6864058375358582
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1982-05-27_01_152.tcf.xml-34-7	2.0	0.3149983286857605
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1986-01-14_01_031.tcf.xml-60-15	3.0	0.798060417175293
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1986-09-10_01_136.tcf.xml-7-5	3.0	0.6620416641235352
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1986-12-30_01_048.tcf.xml-58-32	3.5	0.7437941431999207
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1987-03-18_01_013.tcf.xml-25-46	3.0	0.9080162048339844
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1987-12-23_01_055.tcf.xml-32-12	4.0	0.7497448325157166
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1988-04-05_01_089.tcf.xml-26-45	4.0	0.9320274591445923
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1988-10-01_01_582.tcf.xml-5-13	2.0	0.38533055782318115
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1990-04-26_01_220.tcf.xml-8-7	3.5	0.8114510178565979
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1990-05-09_01_014.tcf.xml-6-18	3.0	0.6615713834762573
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1947_10_29_01_105.tcf.xml-3-18	2.0	0.46793797612190247
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1963_04_07_01_034.tcf.xml-54-28	4.0	0.9347764253616333
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1963_11_29_01_007.tcf.xml-13-8	4.0	0.5012865662574768
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1966_04_29_01_295.tcf.xml-3-18	4.0	0.6489051580429077
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1967_06_02_01_258.tcf.xml-7-3	2.0	0.4002342224121094
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1968_09_29_01_271.tcf.xml-44-16	4.0	0.9296068549156189
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1974_02_16_01_247.tcf.xml-4-30	2.0	0.6333743333816528
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1976_07_29_01_069.tcf.xml-14-37	3.5	0.7922122478485107
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1981_07_08_01_073.tcf.xml-4-23	3.0	0.7924283742904663
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1982_01_21_01_056.tcf.xml-8-30	3.0	0.8890210390090942
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1983_08_17_01_096.tcf.xml-3-21	3.5	0.8915376663208008
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1986_12_31_01_041.tcf.xml-4-25	4.0	0.8163816928863525
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1989_07_26_01_156.tcf.xml-20-11	3.0	0.739627480506897
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	26120215_1990_08_21_01_363.tcf.xml-5-26	4.0	0.7284132242202759
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	baumstark_encyclopaedie_1835-3398-12	2.0	0.5422742366790771
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	baumstark_encyclopaedie_1835-3421-18	2.0	0.38618004322052
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	baumstark_encyclopaedie_1835-3510-14	2.0	0.4708503484725952
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen01_1884-1203-25	2.0	0.5545819997787476
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen02_1895-1381-74	1.0	0.41698727011680603
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen02_1895-1384-18	2.0	0.3493398427963257
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen02_1895-20360-26	2.0	0.46454235911369324
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen03_1897-14128-14	2.0	0.44273892045021057
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen03_1897-17045-9	2.0	0.45233750343322754
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	berg_ostasien04_1873-4058-13	2.0	0.43897467851638794
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	brehm_thierleben05_1869-651-26	2.0	0.6034325361251831
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	gerstner_mechanik03_1834-7858-11	2.0	0.5247395634651184
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	ledebur_eisenhuettenkunde_1884-8934-38	2.0	0.35524827241897583
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	peschel_voelkerkunde_1874-3546-36	2.0	0.4275270700454712
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	peschel_voelkerkunde_1874-3546-43	2.0	0.4416266977787018
abbauen	2532889X_1971-09-08_01_056.tcf.xml-14-40	quenstedt_mineralogie_1854-14158-25	2.0	0.33969247341156006
abbauen	2532889X_1972-11-27_01_085.tcf.xml-12-5	2532889X_1986-12-30_01_048.tcf.xml-58-32	4.0	0.7390764951705933
abbauen	2532889X_1972-11-27_01_085.tcf.xml-12-5	beck_eisen03_1897-15223-9	1.5	0.29238855838775635
abbauen	2532889X_1973-04-28_01_168.tcf.xml-22-53	2532889X_1986-12-30_01_048.tcf.xml-58-32	1.0	0.319122314453125
abbauen	2532889X_1973-04-28_01_168.tcf.xml-22-53	26120215_1956_09_28_01_084.tcf.xml-4-19	2.0	0.398835688829422
abbauen	2532889X_1973-04-28_01_168.tcf.xml-22-53	baumstark_encyclopaedie_1835-3530-19	3.0	0.7550848722457886
abbauen	2532889X_1973-04-28_01_168.tcf.xml-22-53	beck_eisen02_1895-703-21	2.0	0.8313535451889038
abbauen	2532889X_1973-04-28_01_168.tcf.xml-22-53	peschel_voelkerkunde_1874-3546-43	1.5	0.7916945219039917
abbauen	2532889X_1973-06-30_01_194.tcf.xml-47-22	beck_eisen03_1897-14128-14	3.5	0.8094297647476196
abbauen	2532889X_1973-06-30_01_194.tcf.xml-47-22	humboldt_gutachten_1838-60-41	4.0	0.8119024634361267
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	2532889X_1982-05-27_01_152.tcf.xml-34-7	2.5	0.804996132850647
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	2532889X_1986-12-30_01_048.tcf.xml-58-32	2.0	0.5132713317871094
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	26120215_1974_02_16_01_247.tcf.xml-4-30	4.0	0.7406647205352783
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	26120215_1979_07_18_01_037.tcf.xml-75-26	4.0	0.7016488909721375
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	26120215_1984_11_18_01_041.tcf.xml-9-21	4.0	0.6395257115364075
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	26120215_1990_07_28_01_810.tcf.xml-15-12	2.5	0.20667803287506104
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	baumstark_encyclopaedie_1835-3510-14	4.0	0.45703473687171936
abbauen	2532889X_1974-10-20_01_048.tcf.xml-29-11	beck_eisen02_1895-19457-11	1.5	0.5717438459396362
abbauen	2532889X_1975-02-24_01_093.tcf.xml-21-36	26120215_1970_07_23_01_183.tcf.xml-22-11	3.5	0.48343244194984436
abbauen	2532889X_1975-02-24_01_093.tcf.xml-21-36	humboldt_gutachten_1838-109-17	1.5	0.31598803400993347
abbauen	2532889X_1976-01-30_01_041.tcf.xml-46-26	2532889X_1986-12-30_01_048.tcf.xml-58-32	4.0	0.7782914042472839
abbauen	2532889X_1976-01-30_01_041.tcf.xml-46-26	beck_eisen02_1895-1004-17	2.0	0.46123206615448
abbauen	2532889X_1976-01-30_01_041.tcf.xml-46-26	humboldt_gutachten_1838-109-17	2.0	0.379854291677475
abbauen	2532889X_1977-01-01_01_162.tcf.xml-63-12	beck_eisen02_1895-18933-5	2.0	0.34263238310813904
abbauen	2532889X_1977-01-01_01_162.tcf.xml-63-12	nn_maehrisches166_1893-368-17	3.5	0.5428435802459717
abbauen	2532889X_1977-08-26_01_087.tcf.xml-25-45	26120215_1986_05_30_01_021.tcf.xml-12-10	4.0	0.7026973962783813
abbauen	2532889X_1977-08-26_01_087.tcf.xml-25-45	beck_eisen02_1895-1381-74	2.0	0.3509877026081085
abbauen	2532889X_1977-08-26_01_087.tcf.xml-25-45	humboldt_bogota_1853-257-34	2.0	0.263808012008667
abbauen	2532889X_1978-06-09_01_083.tcf.xml-2-32	baumstark_encyclopaedie_1835-3361-21	2.0	0.1876169592142105
abbauen	2532889X_1978-07-21_01_096.tcf.xml-14-30	beck_eisen03_1897-15223-9	2.0	0.35789355635643005
abbauen	2532889X_1979-12-15_01_109.tcf.xml-18-28	26120215_1956_09_28_01_084.tcf.xml-4-19	4.0	0.6835787892341614
abbauen	2532889X_1982-05-27_01_152.tcf.xml-34-7	26120215_1966_04_29_01_295.tcf.xml-3-18	2.5	0.30658066272735596
abbauen	2532889X_1982-05-27_01_152.tcf.xml-34-7	baumstark_encyclopaedie_1835-3530-19	4.0	0.8383074998855591
abbauen	2532889X_1982-05-27_01_152.tcf.xml-34-7	humboldt_gutachten_1838-109-17	4.0	0.8090000748634338
abbauen	2532889X_1982-05-27_01_152.tcf.xml-34-7	ledebur_eisenhuettenkunde_1884-9090-10	4.0	0.6824078559875488
abbauen	2532889X_1982-05-27_01_152.tcf.xml-34-7	peschel_voelkerkunde_1874-3546-43	4.0	0.6924889087677002
abbauen	2532889X_1985-03-12_01_066.tcf.xml-11-12	2532889X_1986-12-30_01_048.tcf.xml-58-32	4.0	0.6975201368331909
abbauen	2532889X_1985-03-12_01_066.tcf.xml-11-12	26120215_1984_11_18_01_041.tcf.xml-9-21	2.0	0.41564613580703735
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	2532889X_1986-01-14_01_031.tcf.xml-60-15	4.0	0.8263304233551025
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	2532889X_1987-12-23_01_055.tcf.xml-32-12	3.0	0.7852339148521423
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	26120215_1956_09_28_01_084.tcf.xml-4-19	4.0	0.7169760465621948
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	26120215_1962_01_05_01_035.tcf.xml-141-16	4.0	0.872328519821167
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	26120215_1970_09_26_01_179.tcf.xml-10-20	2.0	0.2803747355937958
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	26120215_1983_08_17_01_096.tcf.xml-3-21	4.0	0.9044110774993896
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	baumstark_encyclopaedie_1835-12861-16	2.0	0.3007435202598572
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	beck_eisen02_1895-13263-28	2.0	0.18838979303836823
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	beck_eisen02_1895-1381-74	2.0	0.24231918156147003
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	beck_eisen03_1897-15223-9	2.0	0.17103023827075958
abbauen	2532889X_1985-04-03_01_036.tcf.xml-7-19	humboldt_gutachten_1838-109-17	2.0	0.2327214777469635
abbauen	2532889X_1985-04-11_01_106.tcf.xml-8-18	beck_eisen03_1897-15223-9	2.0	0.40209871530532837
abbauen	2532889X_1985-10-17_01_179.tcf.xml-140-22	beck_eisen02_1895-1381-74	2.0	0.2590235769748688
abbauen	2532889X_1985-12-18_01_048.tcf.xml-4-12	2532889X_1986-12-30_01_048.tcf.xml-58-32	4.0	0.7951473593711853
abbauen	2532889X_1986-01-14_01_031.tcf.xml-60-15	26120215_1985_09_11_01_030.tcf.xml-63-27	4.0	0.8656033277511597
abbauen	2532889X_1986-09-10_01_136.tcf.xml-7-5	26120215_1956_09_28_01_084.tcf.xml-4-19	4.0	0.6460748910903931
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	2532889X_1987-11-27_01_026.tcf.xml-8-26	2.0	0.6118497848510742
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	2532889X_1989-04-04_01_114.tcf.xml-33-25	3.5	0.791843056678772
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	2532889X_1989-05-27_01_118.tcf.xml-19-9	2.0	0.2880765199661255
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	2532889X_1990-04-28_01_305.tcf.xml-4-29	3.5	0.6784328818321228
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1955_07_30_01_004.tcf.xml-20-38	3.5	0.7666633129119873
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1962_01_05_01_035.tcf.xml-141-16	3.0	0.7393313646316528
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1968_01_24_01_005.tcf.xml-140-27	3.0	0.6758794188499451
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1970_09_26_01_179.tcf.xml-10-20	2.0	0.520859956741333
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1974_10_27_01_066.tcf.xml-27-20	3.5	0.6333555579185486
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1978_06_09_01_160.tcf.xml-6-24	4.0	0.7336896657943726
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1979_07_18_01_037.tcf.xml-75-26	2.0	0.3760508894920349
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1981_03_25_01_020.tcf.xml-9-1	3.0	0.6919944286346436
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1982_01_30_01_155.tcf.xml-21-5	4.0	0.6988102197647095
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1984_08_02_01_043.tcf.xml-10-15	2.0	0.5800397992134094
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1985_03_06_01_091.tcf.xml-14-8	3.0	0.7025312185287476
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1988_11_23_01_007.tcf.xml-33-33	3.5	0.6679351925849915
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	26120215_1990_09_29_01_919.tcf.xml-4-19	3.0	0.6209723949432373
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	baumstark_encyclopaedie_1835-3361-21	2.0	0.33450841903686523
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	baumstark_encyclopaedie_1835-3469-13	2.0	0.33497729897499084
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	baumstark_encyclopaedie_1835-3477-40	2.0	0.507041335105896
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	baumstark_encyclopaedie_1835-3477-6	3.0	0.4888051152229309
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	baumstark_encyclopaedie_1835-3481-17	2.0	0.5383520722389221
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	baumstark_encyclopaedie_1835-3530-19	2.0	0.46009397506713867
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen01_1884-8131-33	2.0	0.34683871269226074
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen02_1895-13263-28	2.0	0.31627315282821655
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen02_1895-18933-5	2.0	0.3449513912200928
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen02_1895-19646-33	2.0	0.2851863503456116
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen02_1895-19648-14	2.0	0.2761111259460449
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen03_1897-15223-9	2.0	0.29419049620628357
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen03_1897-15224-3	2.0	0.3703852593898773
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen03_1897-17058-5	2.0	0.4138874411582947
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	berg_ostasien04_1873-4792-15	2.0	0.4266967177391052
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	humboldt_aequinoktial03_1859-726-26	2.0	0.45060068368911743
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	humboldt_aequinoktial04_1859-3573-22	2.0	0.3367964029312134
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	humboldt_bogota_1853-228-17	1.0	0.3629288077354431
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	humboldt_gutachten_1838-60-41	2.0	0.41366371512413025
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	quenstedt_mineralogie_1854-11664-6	1.5	0.2462277114391327
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	quenstedt_mineralogie_1854-14140-32	2.0	0.41214054822921753
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	quenstedt_mineralogie_1854-14153-23	2.0	0.3401285409927368
abbauen	2532889X_1986-12-30_01_048.tcf.xml-58-32	urbanitzky_electricitaet_1885-14714-7	2.0	0.5585022568702698
abbauen	2532889X_1987-03-18_01_013.tcf.xml-25-46	26120215_1990_07_28_01_810.tcf.xml-15-12	4.0	0.7308182716369629
abbauen	2532889X_1987-11-27_01_026.tcf.xml-8-26	26120215_1970_07_23_01_183.tcf.xml-22-11	2.0	0.49570968747138977
abbauen	2532889X_1987-11-27_01_026.tcf.xml-8-26	26120215_1974_02_16_01_247.tcf.xml-4-30	3.5	0.7779166102409363
abbauen	2532889X_1987-11-27_01_026.tcf.xml-8-26	26120215_1979_07_18_01_037.tcf.xml-75-26	2.5	0.6632595062255859
abbauen	2532889X_1987-11-27_01_026.tcf.xml-8-26	26120215_1984_11_18_01_041.tcf.xml-9-21	4.0	0.8799810409545898
abbauen	2532889X_1987-11-27_01_026.tcf.xml-8-26	beck_eisen03_1897-15223-9	2.0	0.4851849675178528
abbauen	2532889X_1987-11-27_01_026.tcf.xml-8-26	lehnert_seehaefen01_1891-4737-54	2.0	0.599861204624176
abbauen	2532889X_1987-12-23_01_055.tcf.xml-32-12	beck_eisen02_1895-703-21	2.0	0.22337059676647186
abbauen	2532889X_1988-03-25_01_045.tcf.xml-6-23	humboldt_bogota_1853-257-34	2.5	0.3129303455352783
abbauen	2532889X_1988-04-05_01_089.tcf.xml-26-45	26120215_1982_01_30_01_155.tcf.xml-21-5	4.0	0.7867586612701416
abbauen	2532889X_1988-04-05_01_089.tcf.xml-26-45	26120215_1990_07_28_01_810.tcf.xml-15-12	3.5	0.723020076751709
abbauen	2532889X_1988-10-01_01_582.tcf.xml-5-13	beck_eisen02_1895-1381-74	4.0	0.9293162822723389
abbauen	2532889X_1989-04-10_01_050.tcf.xml-50-50	humboldt_gutachten_1838-109-17	2.0	0.5030759572982788
abbauen	2532889X_1989-05-27_01_118.tcf.xml-19-9	26120215_1956_09_28_01_084.tcf.xml-4-19	2.0	0.29631152749061584
