lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
stroke_vb	vvd	1855	1	fic_1855_1273.txt-2501-11	 	nieces very affectionately, gave a double caress to Adeline, stroked her pretty curls, admired her beadwork, talked to her about her doll, and then proceeded to invite the whole family to a Twelfth-Day party, given for their especial benefit.	61:68	0:242	nieces very affectionately , gave a double caress to Adeline , stroked her pretty curls , admired her beadwork , talked to her about her doll , and then proceeded to invite the whole family to a Twelfth-Day party , given for their especial benefit .	11	0:46	niece very affectionately , give a double caress to adeline , stroke her pretty curl , admire her beadwork , talk to her about her doll , and then proceed to invite the whole family to a twelfth-day party , give for their especial benefit .	nn2 rg rr y vvd at1 jj nn1 ii np1 y vvd appge_ppho1 jj nn2 y vvd_vvn appge nn1 y vvn_vvd ii ppho1 ii_rp@ appge nn1 y cc rt vvd to vvi at jj nn1 ii at1 np1_<sub> nn1 y vvn if appge jj nn1 y
stroke_vb	vvn	1858	1	fic_1858_1282.txt-1891-28	 	NOT a little disturbed, lest I should distrust the quality of his valor, the major approached me shortly after we had set sail, and having stroked his beard for a few seconds, said: " I do hope, sir, you will not think it strange I did not use my sword to avenge the insult offered me by the enemies who mixed up with my friends on the wharf.	139:146	0:342	NOT a little disturbed , lest I should distrust the quality of his valor , the major approached me shortly after we had set sail , and having stroked his beard for a few seconds , said : " I do hope , sir , you will not think it strange I did not use my sword to avenge the insult offered me by the enemies who mixed up with my friends on the wharf .	28	0:76	not a little disturb , lest i should distrust the quality of his valor , the major approach me shortly after we have set sail , and have stroke his beard for a few second , say : " i do hope , sir , you will not think it strange i do not use my sword to avenge the insult offer me by the enemy who mix up with my friend on the wharf .	xx rr21 rr22 vvn_jj y cs ppis1 vm vvi at nn1 io appge nn1 y at nn1@_jj vvd_vvn ppio1 rr cs ppis2 vhd vvn vv0_nn1@ y cc vhg vvn appge nn1 if at1 da2 nnt2 y vvd y " ppis1 vd0 vvi y nn1 y ppy vm xx vvi pph1 jj ppis1 vdd xx vvi appge nn1 to vvi at nn1 vvd ppio1 ii at nn2 pnqs vvd rp iw appge nn2 ii at nn1 y
stroke_vb	vvg	1857	1	fic_1857_2618.txt-187-36	 	" It, meseems, thou art in a hurry to have justice done thee, good fellow, " said, with a grim smile, the gentleman who was the third one described, stroking, with his embroidered glove, the tuft of hair that hung below his chin. "	149:157	0:231	" It , meseems , thou art in a hurry to have justice done thee , good fellow , " said , with a grim smile , the gentleman who was the third one described , stroking , with his embroidered glove , the tuft of hair that hung below his chin . "	36	0:54	" it , meseems , thou art in a hurry to have justice do thee , good fellow , " say , with a grim smile , the gentleman who be the third one describe , stroke , with his embroider glove , the tuft of hair that hang below his chin . "	" pph1 y vvz_<sub> y ppy nn1 ii at1 nn1@_vv0 to vhi nn1 vdn ppy y jj nn1_jj y " vvd y iw at1 jj nn1 y at nn1 pnqs vbdz at md pn1 vvd_vvn y vvg y iw appge jj nn1 y at nn1 io nn1 cst vvd ii appge nn1 y "
stroke_vb	vvd	1842	1	fic_1842_7289.txt-2065-7	 	When he was gone, the latter stroked his chin complacently as he soliloquized -- " He will do to break ground with this fellow, Calvert.	29:36	0:136	When he was gone , the latter stroked his chin complacently as he soliloquized -- " He will do to break ground with this fellow , Calvert .	7	0:28	when he be go , the latter stroke his chin complacently as he soliloquize -- " he will do to break ground with this fellow , calvert .	cs_rrq pphs1 vbdz vvn y at da vvd appge nn1 rr csa pphs1 vvd z " pphs1 vm vdi to vvi nn1 iw dd1 nn1_jj y np1 y
stroke_vb	vvd	1843	1	fic_1843_7166.txt-1507-2	 	The Caliph stroked his beard and looked at Giafer, and Giafer shook his head with that solemn air which (even before the time of Lord Burleigh) meant so much among counsellors of state.	11:18	0:185	The Caliph stroked his beard and looked at Giafer , and Giafer shook his head with that solemn air which ( even before the time of Lord Burleigh ) meant so much among counsellors of state .	2	0:37	the caliph stroke his beard and look at giafer , and giafer shake his head with that solemn air which ( even before the time of lord burleigh ) mean so much among counsellor of state .	at np1 vvd appge nn1 cc vvn_vvd ii np1_<sub> y cc np1_<sub> vvd appge nn1 iw dd1 jj nn1 ddq y rr ii_cs at nnt1 io nnb np1 y vvd rg da1_rr ii nn2 io nn1 y
stroke_vb	vv0_nn1	1853	1	fic_1853_9158.txt-3583-0	 	Stroke after stroke the heavy bells rang midnight, and it seemed, to each of those excited minds, as though an age elapsed between each	0:6	0:135	Stroke after stroke the heavy bells rang midnight , and it seemed , to each of those excited minds , as though an age elapsed between each	0	0:27	stroke after stroke the heavy bell ring midnight , and it seem , to each of those excite mind , as though an age elapse between each	vv0_nn1 rt%_ii_cs vv0_nn1 at jj nn2 vvd nnt1 y cc pph1 vvd y ii dd1 io dd2 jj nn2 y cs21 cs22 at1 nn1 vvn_vvd ii dd1
stroke_vb	vvg	1852	1	fic_1852_2751.txt-724-8	 	She laughed a little, and went on stroking his face. "	34:42	0:54	She laughed a little , and went on stroking his face . "	8	0:13	she laugh a little , and go on stroke his face . "	pphs1 vvd rr21 rr22 y cc vvd ii_rp@ vvg appge nn1 y "
stroke_vb	vvi	1825	1	fic_1825_7283.txt-695-19	 	Mrs. Barton was not free from the superstition which pervades her class, and she gladly permitted him to stroke her face, which he did with a gravity that evinced perfect faith in his own powers; and in the course of fifteen minutes, she declared herself completely relieved, and cheerfully resumed her labors.	105:111	0:310	Mrs. Barton was not free from the superstition which pervades her class , and she gladly permitted him to stroke her face , which he did with a gravity that evinced perfect faith in his own powers ; and in the course of fifteen minutes , she declared herself completely relieved , and cheerfully resumed her labors .	19	0:58	mrs.- barton be not free from the superstition which pervade her class , and she gladly permit him to stroke her face , which he do with a gravity that evince perfect faith in his own power ; and in the course of fifteen minute , she declare herself completely relieve , and cheerfully resume her labor .	nnb np1 vbdz xx jj ii at nn1 ddq vvz appge nn1 y cc pphs1 rr vvd_vvn ppho1 to vvi appge nn1 y ddq pphs1 vdd iw at1 nn1 cst vvd@_vvn jj nn1 ii appge da nn2 y cc ii at nn1 io mc nnt2 y pphs1 vvd ppx1 rr vvn_vvd_jj y cc rr vvd_vvn appge nn2 y
stroke_vb	vvd	1852	1	fic_1852_69.txt-9982-13	 	Cassy sat down by her, put her arm round her neck, stroked her soft, brown hair; and Emmeline then wondered at the beauty of her magnificent eyes, now soft with tears. "	51:58	0:169	Cassy sat down by her , put her arm round her neck , stroked her soft , brown hair ; and Emmeline then wondered at the beauty of her magnificent eyes , now soft with tears . "	13	0:38	cassy sit down by her , put her arm round her neck , stroke her soft , brown hair ; and emmeline then wonder at the beauty of her magnificent eye , now soft with tear . "	np1@_nn1 vvd rp ii ppho1 y vvd_vv0 appge nn1 ii_rp appge nn1 y vvd appge_ppho1 jj y jj nn1 y cc np1_vv0@ rt vvd ii at nn1 io appge jj nn2 y rt jj iw nn2 y "
stroke_vb	vvg	1842	1	fic_1842_7289.txt-1828-11	 	at the company, Mr. Lowe took his departure, involuntarily stroking with increased affection the nasal eminence which had furnished occasion for so much misplaced merriment. "	59:67	0:175	at the company , Mr. Lowe took his departure , involuntarily stroking with increased affection the nasal eminence which had furnished occasion for so much misplaced merriment . "	11	0:29	at the company , mr.- lowe take his departure , involuntarily stroke with increased affection the nasal eminence which have furnish occasion for so much misplace merriment . "	ii at nn1 y nnb np1 vvd appge nn1 y rr vvg iw jj nn1 at jj nn1 ddq vhd vvn nn1 if rg da1_rr jj nn1 y "
stroke_vb	vvg	1838	1	fic_1838_7085.txt-984-10	 	Thou'lt see, most worshipful, " said Jacques, stroking his chin and looking straightforward with a fierce aspect, " when next thou comest our way, how bravely I'll swear by my beard!	46:54	0:182	Thou'lt see , most worshipful , " said Jacques , stroking his chin and looking straightforward with a fierce aspect , " when next thou comest our way , how bravely I 'll swear by my beard !	10	0:38	thou'lt see , most worshipful , " say jacques , stroke his chin and look straightforward with a fierce aspect , " when next thou comest our way , how bravely i will swear by my beard !	np1_<sub> vv0 y rgt_dat jj y " vvd np1 y vvg appge nn1 cc vvg jj iw at1 jj nn1 y " cs md ppy vv0 appge nn1 y rrq_rgq@ rr ppis1 vm vvi ii appge nn1 !
stroke_vb	vvg	1858	1	fic_1858_1282.txt-1878-15	 	, red face crimsoned, and his thoughts seemed in his beard, for after stroking and fretting it for some seconds, he spoke as follows: " Fellow-citizens: I am sure I have not merited the great homage bestowed upon me to-day.	70:78	0:223	, red face crimsoned , and his thoughts seemed in his beard , for after stroking and fretting it for some seconds , he spoke as follows : " Fellow-citizens : I am sure I have not merited the great homage bestowed upon me to-day .	15	0:46	, red face crimson , and his thought seem in his beard , for after stroke and fret it for some second , he speak as follow : " fellow-citizen : i be sure i have not merit the great homage bestow upon me today .	y jj nn1 vvd y cc appge nn2 vvd_vvn@ ii_rp@ appge nn1 y if_cs% ii vvg cc vvg pph1 if dd nnt2 y pphs1 vvd csa vvz y " nn2 y ppis1 vbm jj ppis1 vh0 xx vvn at jj nn1 vvn_vvd ii ppio1 rt y
stroke_vb	vvd	1827	1	fic_1827_7270.txt-1597-23	 	The poor girl obeyed, but without any apparent interest, and without even seeming conscious of the endearing tenderness with which Hope stroked back her hair, and kissed her cheek. "	136:143	0:182	The poor girl obeyed , but without any apparent interest , and without even seeming conscious of the endearing tenderness with which Hope stroked back her hair , and kissed her cheek . "	23	0:34	the poor girl obey , but without any apparent interest , and without even seem conscious of the endearing tenderness with which hope stroke back her hair , and kiss her cheek . "	at jj nn1 vvd_vvn y ccb iw dd jj nn1 y cc iw rr vvg_jj jj io at jj nn1 iw ddq np1_nn1 vvd rp appge nn1 y cc vvd appge nn1 y "
stroke_vb	vvi	1851	1	fic_1851_1184.txt-1356-8	 	Andy had half put out his hand to stroke her.	34:40	0:45	Andy had half put out his hand to stroke her .	8	0:11	andy have half put out his hand to stroke her .	np1 vhd rr@_db vvn rp appge nn1 to vvi ppho1 y
stroke_vb	vvd	1853	1	fic_1853_1196.txt-1666-1	 	Edward stroked his face and run his fingers along the edge of his collar, remarking, indifferently, as he did so -- " It's no matter.	7:14	0:133	Edward stroked his face and run his fingers along the edge of his collar , remarking , indifferently , as he did so -- " It 's no matter .	1	0:30	edward stroke his face and run his finger along the edge of his collar , remark , indifferently , as he do so -- " it be no matter .	np1 vvd appge nn1 cc vv0_vvn appge nn2 ii at nn1 io appge nn1 y vvg y rr y csa pphs1 vdd rr_<sub> y_<sub> " pph1 vbz at nn1 y
stroke_vb	vv0_nn1	1860	1	mag_1860_556939.txt-239-46	 	And however imperfect the communication may have been, he says of the effect of it, that " many were glad to touch it the Bible, to embrace it, to kiss it, to hold it to their breasts and heads, and stroke over all their body with it, to show their hungry desire of that knowledge that was spoken of. "	199:205	0:302	And however imperfect the communication may have been , he says of the effect of it , that " many were glad to touch it the Bible , to embrace it , to kiss it , to hold it to their breasts and heads , and stroke over all their body with it , to show their hungry desire of that knowledge that was spoken of . "	46	0:68	and however imperfect the communication may have be , he say of the effect of it , that " many be glad to touch it the bible , to embrace it , to kiss it , to hold it to their breast and head , and stroke over all their body with it , to show their hungry desire of that knowledge that be speak of . "	cc rr_rrqv jj at nn1 vm vhi vbn y pphs1 vvz io at nn1 io pph1 y cst " da2 vbdr jj to vvi pph1 at nn1 y to vvi pph1 y to vvi pph1 y to vvi pph1 ii appge nn2 cc nn2 y cc vv0_nn1 rp_ii db appge nn1 iw pph1 y to vvi appge jj nn1 io dd1 nn1 cst_dd1 vbdz vvn io y "
stroke_vb	vv0	1839	1	fic_1839_7477.txt-2812-18	 	But mark: -- ' T is but a rumor, we may hope unfounded: Though ephod-wearers stroke their beards and smile.	77:83	0:107	But mark : -- ' T is but a rumor , we may hope unfounded : Though ephod-wearers stroke their beards and smile .	18	0:24	but mark : -- ' t be but a rumor , we may hope unfounded : though ephod-wearers stroke their beard and smile .	ccb vv0_nn1 y z ge zz1_np1@ vbz ccb at1 nn1 y ppis2 vm vvi jj y cs nn2_<sub> vv0 appge nn2 cc nn1_vv0 y
stroke_vb	vvd	1848	1	fic_1848_7009.txt-1441-7	 	Our guide, before mounting him, stroked his head with his hand, and patted his shining neck fondly, saying, at the same time, in his ear, " We're off again, my old Rover, on a long hunt, with brave young followers: you must show them what you're made of before we get back again. "	32:39	0:281	Our guide , before mounting him , stroked his head with his hand , and patted his shining neck fondly , saying , at the same time , in his ear , " We 're off again , my old Rover , on a long hunt , with brave young followers : you must show them what you 're made of before we get back again . "	7	0:68	our guide , before mount him , stroke his head with his hand , and pat his shine neck fondly , say , at the same time , in his ear , " we be off again , my old rover , on a long hunt , with brave young follower : you must show them what you be make of before we get back again . "	appge nn1 y ii vvg ppho1 y vvd appge nn1 iw appge nn1 y cc vvd appge jj nn1 rr y vvg y ii at da nnt1 y ii appge nn1 y " ppis2 vbr rp rt y appge jj np1_nn1@ y ii at1 jj nn1 y iw jj jj nn2 y ppy vm vvi ppho2 ddq ppy vbr vvn io cs ppis2 vv0 rp rt y "
stroke_vb	vvd	1857	1	fic_1857_3100.txt-1384-12	 	Guly threw an arm about him, and with the other hand stroked the dark locks soothingly back from the excited brow. "	53:60	0:116	Guly threw an arm about him , and with the other hand stroked the dark locks soothingly back from the excited brow . "	12	0:24	guly throw an arm about him , and with the other hand stroke the dark lock soothingly back from the excite brow . "	rr_np1@ vvd at1 nn1 ii ppho1 y cc iw at jj nn1 vvd at jj_nn1 nn2_vvz@ rr rp ii at jj nn1 y "
stroke_vb	vvd	1856	1	fic_1856_5515.txt-378-1	 	She stroked her silken hair, and caressed her as if she had been a sister, and giving her a few toys from her rich pocket, she hurried on to overtake her teacher who was descending the stairs that led to the lowest corridor, and thence to the yard.	4:11	0:248	She stroked her silken hair , and caressed her as if she had been a sister , and giving her a few toys from her rich pocket , she hurried on to overtake her teacher who was descending the stairs that led to the lowest corridor , and thence to the yard .	1	0:53	she stroke her silken hair , and caress her as if she have be a sister , and give her a few toy from her rich pocket , she hurry on to overtake her teacher who be descend the stair that lead to the low corridor , and thence to the yard .	pphs1 vvd appge_ppho1 jj nn1 y cc vvd ppho1 cs21 cs22 pphs1 vhd vbn at1 nn1 y cc vvg ppho1 at1 da2 nn2 ii appge jj nn1 y pphs1 vvd rp_ii21 to_ii_ii22 vvi appge nn1 pnqs vbdz vvg at nn2 cst vvd ii at jjt nn1 y cc rr ii at nn1 y
stroke_vb	vvz_nn2	1849	1	nf_1849_755107.txt-2037-20	 	When the gymnotus is exhausted, or in a very reduced state of excitability, and will no longer emit strokes on being irritated with one hand, the shocks are felt in a very vivid manner, on forming the chain, and employing both hands.	100:107	0:233	When the gymnotus is exhausted , or in a very reduced state of excitability , and will no longer emit strokes on being irritated with one hand , the shocks are felt in a very vivid manner , on forming the chain , and employing both hands .	20	0:48	when the gymnotus be exhaust , or in a very reduce state of excitability , and will no long emit stroke on be irritate with one hand , the shock be feel in a very vivid manner , on form the chain , and employ both hand .	cs at nn1_<sub> vbz vvn_jj y cc ii at1 rg jj@ nn1 io nn1 y cc vm rr%_at jjr nn1 vvz_nn2 ii vbg vvn iw mc1 nn1 y at nn2 vbr vvn ii at1 rg jj nn1 y ii vvg at nn1 y cc vvg db2 nn2 y
stroke_vb	vvd	1858	1	fic_1858_1282.txt-5010-7	 	Mr. Tickler shook his head, and stroked his beard, despondingly. "	32:39	0:66	Mr. Tickler shook his head , and stroked his beard , despondingly . "	7	0:14	mr.- tickler shake his head , and stroke his beard , despondingly . "	nnb np1 vvd appge nn1 y cc vvd appge nn1 y rr_<sub> y "
stroke_vb	vv0_nn1	1840	1	nf_1840_768793.txt-556-13	 	My setting forward was somewhat before seauen in the morning; my Taberer stroke up merrily; and as fast as kinde peoples thronging together would giue mee leaue, thorow London I leapt.	73:79	0:184	My setting forward was somewhat before seauen in the morning ; my Taberer stroke up merrily ; and as fast as kinde peoples thronging together would giue mee leaue , thorow London I leapt .	13	0:35	my set forward be somewhat before seauen in the morning ; my taberer stroke up merrily ; and as fast as kinde people throng together would giue mee leaue , thorow london i leap .	appge nn1_vvg rl vbdz rr ii_cs nn1_<sub> ii at nnt1 y appge nn1_<sub> vv0_nn1 rp rr y cc rg rr_jj csa nn1 nn2 vvg rl vm vvi nn1 nn1_vv0 y vv0_nn1 np1 ppis1 vvd y
stroke_vb	vvg	1844	1	nf_1844_747706.txt-172-18	 	There was one Valentine Greatarick, who affirmed that he had the gift of healing diseases, by stroking and rubbing the diseased parts with his hands.	94:102	0:149	There was one Valentine Greatarick , who affirmed that he had the gift of healing diseases , by stroking and rubbing the diseased parts with his hands .	18	0:28	there be one valentine greatarick , who affirm that he have the gift of healing disease , by stroke and rub the diseased part with his hand .	ex vbdz mc1 np1 np1_<sub> y pnqs vvd cst pphs1 vhd at nn1 io jj_nn1 nn2 y ii vvg cc vvg at jj nn2 iw appge nn2 y
stroke_vb	vvz	1853	1	fic_1853_9805.txt-745-4	 	a moment, and strokes his poor little thin cheeks, and thinks what a laughing, happy little fellow he once was, till she has not a heart to reprove him.	14:21	0:152	a moment , and strokes his poor little thin cheeks , and thinks what a laughing , happy little fellow he once was , till she has not a heart to reprove him .	4	0:34	a moment , and stroke his poor little thin cheek , and think what a laugh , happy little fellow he once be , till she have not a heart to reprove him .	at1 nn1 y cc vvz appge jj jj_rr jj nn2 y cc vvz ddq at1 jj@_nn1% y jj jj nn1 pphs1 rr vbdz y cs pphs1 vhz xx at1 nn1 to vvi ppho1 y
stroke_vb	vvd	1854	1	fic_1854_9826.txt-4287-1	 	Redwort stroked his iron-gray moustache, and regarded Martin complacently, to observe the effect of his confessions on his new acquaintance. "	8:15	0:142	Redwort stroked his iron-gray moustache , and regarded Martin complacently , to observe the effect of his confessions on his new acquaintance . "	1	0:24	redwort stroke his iron-gray moustache , and regard martin complacently , to observe the effect of his confession on his new acquaintance . "	nn1_<sub> vvd appge jj nn1 y cc vvd@_vvn np1 rr y to vvi at nn1 io appge nn2 ii appge jj nn1 y "
stroke_vb	vvn@	1857	1	fic_1857_3100.txt-3794-18	 	One arm was thrown listlessly above his head, his dark curls, disheveled and tangled, were stroked back from his brow, and his cheeks, though hotly flushed, looked as if bearing the bright glow of some pleasant dream.	91:98	0:217	One arm was thrown listlessly above his head , his dark curls , disheveled and tangled , were stroked back from his brow , and his cheeks , though hotly flushed , looked as if bearing the bright glow of some pleasant dream .	18	0:44	one arm be throw listlessly above his head , his dark curl , disheveled and tangled , be stroke back from his brow , and his cheek , though hotly flush , look as if bear the bright glow of some pleasant dream .	mc1 nn1 vbdz vvn rr ii appge nn1 y appge jj_nn1 nn2 y vvd_jj@ cc jj_vvd@ y vbdr vvn@ rp ii appge nn1 y cc appge nn2 y cs rr vvn_vvd_jj y vvn_vvd cs21 cs22 vvg at jj nn1 io dd jj nn1 y
stroke_vb	vvg	1858	1	mag_1858_566996.txt-209-39	 	he shows him " the belts and moons of Jupiter, the rings of Satnrn, and his satellites, the gibbous appearance of Mars, and the wond ers of the milky way, " -- the astrologer stroking his beard, and saying, " God is great, and truly you are one of the wise ones of the earth, " and the youthful missionary saying, " if Moolahs will permit us to take them by the hand, and lead them in the paths of science, the time is near when we can lead them to the Lamb of God. "	175:183	0:467	he shows him " the belts and moons of Jupiter , the rings of Satnrn , and his satellites , the gibbous appearance of Mars , and the wond ers of the milky way , " -- the astrologer stroking his beard , and saying , " God is great , and truly you are one of the wise ones of the earth , " and the youthful missionary saying , " if Moolahs will permit us to take them by the hand , and lead them in the paths of science , the time is near when we can lead them to the Lamb of God . "	39	0:109	he show him " the belt and moon of jupiter , the ring of satnrn , and his satellite , the gibbous appearance of mars , and the wond ers of the milky way , " -- the astrologer stroke his beard , and say , " god be great , and truly you be one of the wise one of the earth , " and the youthful missionary say , " if moolahs will permit us to take them by the hand , and lead them in the path of science , the time be near when we can lead them to the lamb of god . "	pphs1 vvz ppho1 " at nn2 cc nn2 ii_<sub> np1 y at nn2 io np1_<sub> y cc appge nn2 y at jj nn1 io np1 y cc at nn1_<sub> nn2_vvz io at jj nn1 y " nn1_jj at nn1 vvg appge nn1 y cc vvg_nn1@ y " np1 vbz jj y cc rr ppy vbr mc1 io at jj nn2 io at nn1 y " cc at jj nn1 vvg_nn1@ y " cs np1_<sub> vm vvi ppio2 to vvi ppho2 ii at nn1 y cc vv0 ppho2 ii at nn2 io nn1 y at nnt1 vbz rl cs_rrq ppis2 vm vvi ppho2 ii at nn1@_np1 io np1_nn1@ y "
stroke_vb	vvg	1836	1	nf_1836_747959.txt-179-8	 	I went up, and amused myself with stroking her.	34:42	0:47	I went up , and amused myself with stroking her .	8	0:11	i go up , and amuse myself with stroke her .	ppis1 vvd rp y cc vvd@ ppx1 iw vvg ppho1 y
