lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4
attack	fic_1838_7086.txt-2732-33	nf_1975_773861.txt-1436-17	3.0	mag_1828_553929.txt-364-34	2.0	nf_2007_775314.txt-41-4	4.0		
attack	nf_1832_758144.txt-1353-3	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0	news_1967_726451.txt-39-2	4.0		
attack	fic_1858_1282.txt-1444-24	fic_1838_7086.txt-2732-33	2.0	mag_1828_553929.txt-364-34	3.0	fic_1838_7086.txt-2732-33	4.0		
attack	fic_1844_800.txt-2479-17	mag_1828_553929.txt-364-34	4.0	mag_1828_553929.txt-364-34	3.0	mag_1854_555935.txt-131-30	2.0		
attack	nf_1833_747463.txt-2020-14	fic_2009_36778.txt-461-18	4.0	mag_1828_553929.txt-364-34	2.0	fic_2009_36778.txt-461-18	3.0		
attack	mag_1840_586558.txt-356-49	news_1998_626765.txt-4-8	4.0	mag_1828_553929.txt-364-34	3.0	fic_1848_1279.txt-1511-47	2.0		
attack	mag_1825_553609.txt-140-54	news_1991_612479.txt-40-20	3.0	news_1967_726451.txt-39-2	4.0	fic_1848_1279.txt-1511-47	2.0		
attack	fic_1855_1209.txt-770-29	mag_1828_553929.txt-364-34	2.0	mag_1845_555245.txt-299-1	4.0	mag_1828_553929.txt-364-34	3.0		
attack	fic_1835_7134.txt-2235-79	mag_1845_555245.txt-299-1	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1848_1279.txt-1511-47	mag_1972_278489.txt-11-19	2.0	fic_1854_9193.txt-8301-13	3.0	fic_1854_9193.txt-8301-13	4.0		
attack	fic_1835_7142.txt-807-41	mag_1828_553929.txt-364-34	4.0	mag_1828_553929.txt-364-34	2.0	mag_1828_553929.txt-364-34	3.0		
attack	fic_1848_7009.txt-1181-32	mag_2007_387325.txt-12-20	2.0	fic_1854_9193.txt-8301-13	4.0	fic_1854_9193.txt-8301-13	3.0		
attack	fic_1856_2655.txt-4746-13	news_1966_725841.txt-34-33	4.0	news_1966_725841.txt-34-33	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1856_9779.txt-7124-6	news_1998_626765.txt-4-8	3.0	news_1991_612479.txt-40-20	4.0	news_1991_612479.txt-40-20	2.0		
attack	fic_1845_622.txt-11178-62	news_1967_726451.txt-39-2	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	mag_1845_555245.txt-299-1	fic_1982_780051.txt-4396-7	2.0	news_1967_726451.txt-39-2	3.0	news_1991_612479.txt-40-20	4.0		
attack	fic_1843_7166.txt-1590-9	mag_1845_555245.txt-299-1	3.0	mag_1845_555245.txt-299-1	4.0	fic_1982_780051.txt-4396-7	1.0		
attack	nf_1845_747928.txt-826-66	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	4.0	mag_1828_553929.txt-364-34	2.0		
attack	mag_1850_589167.txt-126-1	news_1991_612479.txt-40-20	3.0	fic_1844_3928.txt-3118-8	4.0	nf_1982_774241.txt-1410-26	1.0		
attack	mag_1853_590234.txt-200-60	mag_2001_412321.txt-16-4	4.0	news_1982_671107.txt-19-96	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1846_544.txt-3481-11	mag_1828_553929.txt-364-34	4.0	news_1994_606745.txt-26-26	3.0	mag_1828_553929.txt-364-34	2.0		
attack	mag_1838_586203.txt-253-10	fic_1848_7009.txt-1181-32	4.0	fic_2001_13289.txt-335-18	3.0	mag_2002_398773.txt-149-9	2.0		
attack	fic_1824_7212.txt-597-16	mag_1828_553929.txt-364-34	3.0	fic_1844_3928.txt-3118-8	4.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1846_7121.txt-2894-16	mag_1828_553929.txt-364-34	4.0	fic_1856_2470.txt-7252-13	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1859_9037.txt-2260-41	fic_1839_7024.txt-2377-9	2.0	news_1991_612479.txt-40-20	4.0	fic_1839_7024.txt-2377-9	3.0	nf_1829_751465.txt-2786-42	1.0
attack	mag_1984_299534.txt-14-19	fic_1848_7009.txt-1181-32	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1976_10617.txt-1529-5	news_1991_612479.txt-40-20	4.0	news_1991_612479.txt-40-20	2.0	news_1991_612479.txt-40-20	3.0		
attack	mag_1970_315464.txt-8-1	mag_1828_553929.txt-364-34	3.0	fic_1839_7024.txt-2377-9	4.0	mag_1828_553929.txt-364-34	2.0		
attack	nf_2001_746295.txt-103-27	mag_1828_553929.txt-364-34	3.0	news_1966_725841.txt-34-33	4.0	mag_1828_553929.txt-364-34	2.0		
attack	mag_2005_379095.txt-6-29	mag_2001_416183.txt-158-8	3.0	news_1994_606745.txt-26-26	4.0	mag_1972_278489.txt-11-19	1.0		
attack	news_1992_605779.txt-41-29	mag_1828_553929.txt-364-34	3.0	fic_1838_7086.txt-2732-33	4.0	mag_1828_553929.txt-364-34	2.0		
attack	mag_1982_490856.txt-85-5	news_1966_725841.txt-34-33	2.0	news_1966_725841.txt-34-33	3.0	news_1991_612479.txt-40-20	4.0		
attack	news_1967_726451.txt-39-2	news_1966_725841.txt-34-33	3.0	fic_1838_7086.txt-2732-33	4.0	fic_1853_9142.txt-2686-17	2.0		
attack	fic_1962_781986.txt-3553-2	fic_1856_2470.txt-7252-13	3.0	news_1991_612479.txt-40-20	2.0	mag_2005_379095.txt-6-29	4.0		
attack	news_1994_606745.txt-26-26	mag_1994_425594.txt-9-10	2.0	fic_1854_9193.txt-8301-13	3.0	fic_2009_36778.txt-461-18	4.0		
attack	fic_1993_25035.txt-820-7	mag_2005_379002.txt-22-10	3.0	news_1998_626765.txt-4-8	2.0	news_1998_626765.txt-4-8	4.0		
attack	news_1982_671107.txt-19-96	fic_1853_1170.txt-2289-22	3.0	fic_1994_54174.txt-61-23	2.0	fic_1856_2655.txt-4746-13	4.0		
attack	mag_1962_492071.txt-8-21	mag_1828_553929.txt-364-34	3.0	fic_1839_7024.txt-2377-9	4.0	mag_1828_553929.txt-364-34	2.0		
attack	news_1984_670941.txt-14-43	fic_1853_9142.txt-2686-17	4.0	fic_1858_1282.txt-1444-24	2.0	fic_1858_1282.txt-1444-24	3.0	fic_1858_1282.txt-1444-24	1.0
attack	fic_2009_36778.txt-461-18	fic_1838_7085.txt-2157-17	4.0	mag_1854_555935.txt-131-30	2.0	fic_1853_9142.txt-2686-17	3.0		
attack	mag_2005_379087.txt-0-11	mag_1828_553929.txt-364-34	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1994_54174.txt-61-23	mag_1828_553929.txt-364-34	3.0	news_1982_671107.txt-19-96	2.0	fic_1853_9142.txt-2686-17	4.0		
attack	mag_1978_318618.txt-11-36	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	4.0	mag_1828_553929.txt-364-34	2.0		
attack	news_1961_722130.txt-4-23	mag_1854_555935.txt-131-30	4.0	mag_1854_555935.txt-131-30	2.0	mag_1854_555935.txt-131-30	3.0		
attack	mag_2000_368897.txt-14-26	mag_1845_555245.txt-299-1	2.0	mag_1845_555245.txt-299-1	3.0	news_1991_612479.txt-40-20	4.0		
attack	news_2001_661977.txt-17-13	news_2004_640221.txt-13-20	2.0	news_2004_640221.txt-13-20	3.0	news_1991_612479.txt-40-20	4.0		
attack	news_1991_612479.txt-40-20	news_1968_727226.txt-22-9	3.0	fic_1853_1170.txt-2289-22	4.0	news_1965_724563.txt-1-1	2.0		
attack	mag_2004_365334.txt-2-9	fic_2009_36778.txt-461-18	3.0	mag_1828_553929.txt-364-34	2.0	mag_1846_524014.txt-303-22	1.0		
attack	mag_2002_371999.txt-12-46	nf_1844_749098.txt-1617-40	4.0	mag_1981_322209.txt-3-7	3.0	fic_1988_780054.txt-2791-11	2.0		
attack	news_1966_725841.txt-34-33	news_1972_729986.txt-6-2	4.0	fic_1968_781997.txt-4233-2	3.0	fic_2009_36778.txt-461-18	2.0		
attack	mag_2005_379002.txt-22-10	fic_1993_25035.txt-820-7	2.0	fic_1993_25035.txt-820-7	3.0	mag_2002_398773.txt-149-9	4.0		
attack	mag_1968_212735.txt-7-17	fic_1854_9193.txt-8301-13	4.0	fic_1854_9193.txt-8301-13	3.0	news_1991_612479.txt-40-20	2.0	nf_1824_747448.txt-3506-12	1.0
attack	nf_1977_773747.txt-57-27	news_1967_726451.txt-39-2	4.0	news_1991_612479.txt-40-20	3.0	news_1967_726451.txt-39-2	2.0		
attack	fic_2002_30623.txt-303-9	news_1991_612479.txt-40-20	2.0	fic_1853_9142.txt-2686-17	4.0	news_1997_611600.txt-65-2	3.0	fic_1845_622.txt-11187-51	1.0
attack	news_1972_730368.txt-11-20	fic_1856_2470.txt-7252-13	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_2001_13566.txt-158-6	mag_1828_553929.txt-364-34	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_2001_13289.txt-335-18	fic_1968_781997.txt-4233-2	3.0	fic_1968_781997.txt-4233-2	2.0	news_1991_612479.txt-40-20	4.0		
attack	mag_1990_342663.txt-0-16	fic_1853_9142.txt-2686-17	3.0	fic_1853_9142.txt-2686-17	4.0	fic_1853_9142.txt-2686-17	2.0		
attack	news_1998_626765.txt-4-8	fic_1844_3928.txt-3118-8	3.0	news_1967_726451.txt-39-2	4.0	fic_1844_3928.txt-3118-8	2.0		
attack	mag_2007_387325.txt-12-20	fic_1848_7009.txt-1181-32	2.0	news_1991_612479.txt-40-20	3.0	fic_2002_30623.txt-303-9	4.0	fic_1838_7085.txt-2157-17	1.0
attack	news_1989_669714.txt-32-21	news_1991_612479.txt-40-20	3.0	fic_1838_7086.txt-2732-33	4.0	news_1991_612479.txt-40-20	2.0		
attack	nf_1962_773607.txt-311-2	mag_2005_397463.txt-63-5	4.0	news_1991_612479.txt-40-20	3.0	mag_1854_555935.txt-131-30	2.0		
attack	news_2004_640221.txt-13-20	fic_1968_781997.txt-4233-2	4.0	mag_1828_553929.txt-364-34	2.0	mag_1828_553929.txt-364-34	3.0		
attack	news_1968_727226.txt-22-9	news_1994_606745.txt-26-26	3.0	news_1991_612479.txt-40-20	4.0	news_1991_612479.txt-40-20	2.0		
attack	fic_1982_780051.txt-4396-7	news_1984_670941.txt-14-43	2.0	mag_1828_553929.txt-364-34	1.0	mag_1845_555245.txt-299-1	3.0	fic_1858_1282.txt-1444-24	4.0
attack	mag_1981_322209.txt-3-7	news_1991_612479.txt-40-20	3.0	news_1967_726451.txt-39-2	4.0	news_1991_612479.txt-40-20	2.0		
attack	mag_1970_282294.txt-7-3	mag_1828_553929.txt-364-34	3.0	news_1967_726451.txt-39-2	4.0	news_1967_726451.txt-39-2	1.0	mag_1828_553929.txt-364-34	2.0
attack	mag_1999_397639.txt-186-35	mag_1834_554263.txt-306-48	2.0	mag_1828_553929.txt-364-34	4.0	mag_1845_555245.txt-299-1	3.0		
attack	mag_1972_278489.txt-11-19	fic_2002_30623.txt-303-9	4.0	mag_1980_296744.txt-5-30	3.0	fic_1853_9142.txt-2686-17	1.0	mag_1828_553929.txt-364-34	2.0
attack	nf_1975_773861.txt-1436-17	mag_1828_553929.txt-364-34	3.0	fic_1838_7086.txt-2732-33	2.0	fic_1858_1282.txt-1444-24	4.0		
